Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US)
Up ,2009,original screenplay,98,88,93,86,88,-2,87,6,,"animation, adventure, family",68100000,68.10,293000000,293.00,438.3,438300000,731300000,731.3,59.93%,175,417.89%,38.91%,Oscar winner,Best Animated Feature,http://www.amazon.com/gp/product/B005ZMTXMY/?tag=titb-20,1,,,,"May 29, 2009"
The Blind Side ,2009,adaptation,65,53,59,90,69,21,80,-21,,"biography, sport",34100000,34.10,255960000,255.96,53.24,53240000,309200000,309.2,17.22%,29,1066.21%,117.59%,,Best Actress,http://www.amazon.com/gp/product/B0036BK6MW/?tag=titb-20,1,,,,"Nov 20, 2009"
The Hurt Locker ,2009,original screenplay,97,94,96,83,71,12,77,19,,"thriller, war",140000,0.14,17010000,17.01,32.21,32210000,49220000,49.22,65.44%,15,328.13%,0.93%,Oscar winner,"Best Picture, Best Director, Best Original Screenplay",http://www.amazon.com/gp/product/B0030MM68O/?tag=titb-20,1,,,,"Jul 24, 2009"
Harry Potter and the Half-Blood Prince ,2009,sequel,83,78,81,75,69,6,72,9,,"adventure, family, fantasy",77800000,77.80,302000000,302.00,632,632000000,934000000,934,67.67%,250,373.60%,31.12%,,,http://www.amazon.com/gp/product/B0091X4EYK/?tag=titb-20,1,,,,"Jul 15, 2009"
Avatar ,2009,original screenplay,83,83,83,92,75,17,84,-1,,"action, adventure, fantasy",77000000,77.00,760500000,760.50,"2,021",2021000000,2781500000,2781.5,72.66%,237,1173.63%,32.49%,,,http://www.amazon.com/gp/product/B001J6W29Q/?tag=titb-20,1,,,,"Dec 18, 2009"
Transformers: Revenge of the Fallen ,2009,sequel,20,35,28,76,56,20,66,-39,,"action, adventure, sci-fi",109000000,109.00,402100000,402.10,434.2,434200000,836300000,836.3,51.92%,210,398.24%,51.90%,,,http://www.amazon.com/gp/product/B002SARF94/?tag=titb-20,1,,,,"Jun 24, 2009"
A Christmas Carol,2009,adaptation,52,55,54,72,73,-1,73,-19,,"animation, comedy, family",30100000,30.10,137900000,137.90,187.43,187430000,325330000,325.33,57.61%,200,162.67%,15.05%,,,http://www.amazon.com/gp/product/B0060D196K/?tag=titb-20,1,,,,"Nov 6, 2009"
2012,2009,original screenplay,39,49,44,63,54,9,59,-15,,"action, adventure, sci-fi",65300000,65.30,166120000,166.12,603.57,603570000,769690000,769.69,78.42%,200,384.85%,32.65%,,,http://www.amazon.com/gp/product/B00S4P24GQ/?tag=titb-20,1,,,,"Nov 13, 2009"
Terminator Salvation ,2009,sequel,33,52,43,64,60,4,62,-20,,"action, sci-fi, thriller",42600000,42.60,125300000,125.30,246.7,246700000,372000000,372,66.32%,200,186.00%,21.30%,,,http://www.amazon.com/gp/product/B002RRN952/?tag=titb-20,1,,,,"May 21, 2009"
G.I. Joe: The Rise of Cobra ,2009,adaptation,33,32,33,62,53,9,58,-25,,"action, adventure, sci-fi",54700000,54.70,150200000,150.20,152.26,152260000,302460000,302.1,50.34%,175,172.63%,31.26%,,,http://www.amazon.com/gp/product/B002Z0TPFE/?tag=titb-20,1,,,,"August 7, 2009"
Monsters Vs. Aliens ,2009,original screenplay,72,56,64,65,66,-1,66,-2,,"animation, action, adventure",59300000,59.30,198400000,198.40,183.2,183200000,381500000,381.5,48.02%,175,218.00%,33.89%,,,http://www.amazon.com/gp/product/B005ML0OLW/?tag=titb-20,1,,,,"March 27, 2009"
X-Men Origins: Wolverine ,2009,adaptation,37,40,39,72,61,11,67,-28,,"action, adventure, sci-fi",85100000,85.10,179900000,179.90,193.2,193200000,373100000,373.1,51.78%,150,248.73%,56.73%,,,http://www.amazon.com/gp/product/B004UPANAI/?tag=titb-20,1,,,,"May 1, 2009"
G-Force ,2009,original screenplay,22,41,32,50,41,9,46,-14,,"action, adventure, comedy",31700000,31.70,119400000,119.40,173.38,173380000,285100000,285.1,60.81%,150,190.07%,21.13%,,,http://www.amazon.com/gp/product/B0055XI98M/?tag=titb-20,1,,,,"Jul 24, 2009"
Angels & Demons ,2009,sequel,36,48,42,65,62,3,64,-22,,"mystery, thriller",46200000,46.20,133400000,133.40,352.6,352600000,485900000,485.9,72.57%,150,323.93%,30.80%,,,http://www.amazon.com/gp/product/B002Q31MXS/?tag=titb-20,1,,,,"May 15, 2009"
Night at the Museum: Battle of the Smithsonian ,2009,sequel,43,42,43,60,54,6,57,-15,,"action, adventure, comedy",54200000,54.20,177200000,177.20,235.8,235800000,413000000,413,57.09%,150,275.33%,36.13%,,,http://www.amazon.com/gp/product/B002QR5CQC/?tag=titb-20,1,,,,"May 22, 2009"
Star Trek ,2009,original screenplay,94,83,89,91,80,11,86,3,,"action, adventure, sci-fi",75200000,75.20,257700000,257.70,127.95,127950000,385650000,385.65,33.18%,140,275.46%,53.71%,,,http://www.amazon.com/gp/product/B002PMPTIO/?tag=titb-20,1,,,,"May 8, 2009"
Watchmen ,2009,adaptation,64,56,60,68,77,-9,73,-13,,"action, mystery, sci-fi",55200000,55.20,107500000,107.50,77.7,77700000,185300000,185.3,41.93%,130,142.54%,42.46%,,,http://www.amazon.com/gp/product/B002EDH0FE/?tag=titb-20,1,,,,"Mar 6, 2009"
The Princess and the Frog ,2009,adaptation,84,73,79,72,72,0,72,7,,"animation, family, fantasy",24200000,24.20,104400000,104.40,162.64,162640000,267040000,267.04,60.90%,105,254.32%,23.05%,,,http://www.amazon.com/gp/product/B0094KT6J8/?tag=titb-20,1,,,,"Dec 11, 2009"
Cloudy with a Chance of Meatballs ,2009,adaptation,86,66,76,70,67,3,69,8,,"animation, comedy, family",30300000,30.30,124900000,124.90,118.13,118130000,243030000,243.03,48.61%,100,243.03%,30.30%,,,http://www.amazon.com/gp/product/B00I3BQ2NW/?tag=titb-20,1,,,,"Sep 18, 2009"
Land of the Lost ,2009,adaptation,26,32,29,38,49,-11,44,-15,,"adventure, comedy, sci-fi",18800000,18.80,49430000,49.43,19.34,19340000,68770000,68.77,28.12%,100,68.77%,18.80%,,,http://www.amazon.com/gp/product/B002WGHM4M/?tag=titb-20,1,,,,"Jun 5, 2009"
Public Enemies ,2009,adaptation,67,70,69,65,65,0,65,4,,"biography, crime, history",25200000,25.20,97100000,97.10,117,117000000,214100000,214.1,54.65%,100,214.10%,25.20%,,,http://www.amazon.com/gp/product/B002T4HWLK/?tag=titb-20,1,,,,"Jul 1, 2009"
The Taking of Pelham 1 2 3 ,2009,adaptation,51,55,53,60,61,-1,61,-8,,"action, crime, thriller",23370000,23.37,65450000,65.45,84.71,84710000,150160000,150.16,56.41%,100,150.16%,23.37%,,,http://www.amazon.com/gp/product/B002VDC980/?tag=titb-20,1,,,,"Jun 12, 2009"
Where the Wild Things Are ,2009,adaptation,73,71,72,59,64,-5,62,11,,"adventure, family ",32700000,32.70,77230000,77.23,22.85,22850000,100080000,100.08,22.83%,100,100.08%,32.70%,,,http://www.amazon.com/gp/product/B00364NVKS/?tag=titb-20,1,,,,"Oct 16, 2009"
Sherlock Holmes ,2009,adaptation,70,57,64,81,73,8,77,-14,,"action, adventure, crime",62300000,62.30,209020000,209.02,315,315000000,524020000,524.02,60.11%,90,582.24%,69.22%,,,http://www.amazon.com/gp/product/B0038P59A0/,1,,,,"Dec 25, 2009"
Ice Age: Dawn of the Dinosaurs ,2009,sequel,45,50,48,72,70,2,71,-24,,"animation, action, adventure",41700000,41.70,196570000,196.57,690.11,690110000,886680000,886.68,77.83%,90,985.20%,46.33%,,,http://www.amazon.com/gp/product/B002OR0RP0/?tag=titb-20,1,,,,"Jul 1, 2009"
