Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
Captain America: Civil War,2016,sequel,90,75,82.5,89,83,6,86,-4,,Action,179139142,179.14,408084349,408.08,745.22,745220146,1153304495,1153.30,64.62%,250,461%,71.66%,,,https://www.amazon.com/Captain-America-Civil-Bonus-Features/dp/B01F4BYO2E/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219563&sr=1-1&keywords=Captain+America3A+Civil+War,,,,,"May 6, 2016",
Finding Dory,2016,sequel,94,77,85.5,86,74,12,80,6,,Adventure,135060273,135.06,486088707,486.09,539.34,539342116,1025430823,1025.43,52.60%,200,513%,67.53%,,,https://www.amazon.com/Finding-Dory-Plus-Bonus-Content/dp/B01H2HGM0U/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219571&sr=1-1&keywords=Finding+Dory,,,,,"Jun 17, 2016",
Zootopia,2016,original screenplay,98,78,88.0,93,88,5,90.5,-3,,Adventure,75063401,75.06,341268248,341.27,682.49,682486254,1023754502,1023.75,66.67%,150,683%,50.04%,,,https://www.amazon.com/Zootopia-Theatrical-Ginnifer-Goodwin/dp/B01CIV3XCU/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219530&sr=1-1&keywords=Zootopia,,,,,"Mar 4, 2016",
The Jungle Book,2016,adaptation,94,77,85.5,87,75,12,81,5,,Adventure,103261464,103.26,364001123,364.00,602.52,602521065,966522188,966.52,62.34%,175,552%,59.01%,,,https://www.amazon.com/Jungle-Book-Theatrical-Bill-Murray/dp/B01E60ZAA4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219544&sr=1-1&keywords=The+Jungle+Book,,,,,"Apr 15, 2016",
Batman v Superman: Dawn of Justice,2016,sequel,27,44,35.5,64,70,-6,67,-32,,Action,166007347,166.01,330360194,330.36,542.90,542900000,873260194,873.26,62.17%,250,349%,66.40%,,,https://www.amazon.com/Batman-v-Superman-Dawn-Justice/dp/B01DAWJ7C6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219522&sr=1-1&keywords=Batman+v+Superman3A+Dawn+of+Justice,,,,,"Mar 25, 2016",
The Secret Life of Pets,2016,original screenplay,74,61,67.5,64,60,4,62,6,,Adventure,104352905,104.35,367226855,367.23,505.53,505525621,872752476,872.75,57.92%,75,1164%,139.14%,,,https://www.amazon.com/Secret-Life-Pets-Louis-C-K/dp/B01HOSMNYQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219554&sr=1-1&keywords=The+Secret+Life+of+Pets,,,,,"Jul 8, 2016",
Rogue One,2016,sequel,84,65,74.5,90,78,12,84,-10,,Adventure,155081681,155.08,451407837,451,377.70,377700000,829107837,829.11,45.55%,200,415%,77.54%,,,https://www.amazon.com/Rogue-One-Story-Bonus-Content/dp/B01N4BO8N6/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1483640828&sr=1-2&keywords=Rogue+One,,,,,"Dec 16, 2016",
Deadpool,2016,adaptation,84,65,74.5,90,81,9,85.5,-11,,Action,132434639,132.43,363070709,363.07,419.54,419541446,782612155,782.61,53.61%,58,1349%,228.34%,,,https://www.amazon.com/Deadpool-Ryan-Reynolds/dp/B01BHDEDW4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219537&sr=1-1&keywords=Deadpool,,,,,"Feb 12, 2016",
Suicide Squad,2016,adaptation,26,40,33.0,65,64,1,64.5,-32,,Action,133682248,133.68,325100054,325.10,420.50,420500000,745600054,745.60,56.40%,175,426%,76.39%,,,https://www.amazon.com/Suicide-Squad-Will-Smith/dp/B01J7YLPGM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219513&sr=1-1&keywords=Suicide+Squad,,,,,"Aug 5, 2016",
Fantastic Beasts & Where to Find Them,2016,adaptation,74,66,70.0,82,73,9,77.5,-8,,Fantasy,74403387,74.40,208663096,209,508.41,508409307,717072403,717.07,70.90%,180,398%,41.34%,,,https://www.amazon.com/Fantastic-Beasts-Where-Find-Them/dp/B01N0AEYU6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640814&sr=1-1&keywords=Fantastic+Beasts+26+Where+to+Find+Them,,,,,"Nov 18, 2016",
X-Men: Apocalypse,2016,sequel,48,52,50.0,68,68,0,68,-18,,Action,65769562,65.77,155442489,155.44,388.49,388491616,543934105,543.93,71.42%,178,306%,36.95%,,,https://www.amazon.com/X-Men-Apocalypse-James-McAvoy/dp/B01FV2BH62/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219455&sr=1-1&keywords=X-Men3A+Apocalypse,,,,,"May 27, 2016",
The Revenant,2016,original screenplay,82,76,79.0,84,80,4,82,-3,,Adventure,"39,826,840",40,183637894,183.64,349.31,349312609,532950503,532.95,65.54%,135,395%,29.50%,Oscar Winner,"Actor in a Leading Role, Cinematography, Directing",https://www.amazon.com/Revenant-Leonardo-Dicaprio/dp/B01AB7GOD8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219490&sr=1-1&keywords=The+Revenant,,,,,"Jan 8, 2016",
Kung Fu Panda 3,2016,sequel,87,66,76.5,79,75,4,77,-1,,Adventure,41282042,41.28,143528619,143.53,376.35,376352736,519881355,519.88,72.39%,140,371%,29.49%,,,https://www.amazon.com/Kung-Fu-Panda-Jack-Black/dp/B01B5I1A5Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219446&sr=1-1&keywords=Kung+Fu+Panda+3,,,,,"Jan 29, 2016",
Doctor Strange,2016,adaptation,91,72,81.5,90,84,6,87,-6,,Adventure,85058311,85.06,155590962,155.59,341.08,341075890,496666852,496.67,68.67%,165,301%,51.55%,,,https://www.amazon.com/Doctor-Strange-Plus-Bonus-Features/dp/B01M9IELLY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219463&sr=1-1&keywords=Doctor+Strange,,,,,"Nov 4, 2016",
Warcraft,2016,adaptation,28,32,30.0,73,83,-10,78,-48,,Action,24166110,24.17,47225655,47.23,386.31,386311893,433537548,433.54,89.11%,160,271%,15.10%,,,https://www.amazon.com/Warcraft-Travis-Fimmel/dp/B01GPLDCPW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219007&sr=1-1&keywords=Warcraft,,,,,"Jun 10, 2016",
