Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2019/?ref_=bo_yl_table_5
21 Bridges,2019,original screenplay,50,51,51,91,62,29,77,-26,,thriller,9261268,9.3,20676747,20.7,2.7,2730000,23406747,23.4,11.5,33.0,70.93%,28.18%,,,https://www.amazon.co.uk/21-Bridges-Chadwick-Boseman/dp/B0815XQL3L/ref=sr_1_2?keywords=21+Bridges&qid=1577972909&s=instant-video&sr=1-2,,STX Entertainment,6.6,25,"Nov 22, 2019",,
47 Meters Down: Uncaged,2019,sequel,42,43,43,68,55,13,62,-19,,thriller,8427265,8.4,22260900,22.3,17.6,17649616,39910516,39.9,44.1,12.0,332.59%,70.00%,,,https://www.amazon.co.uk/47-Metres-Down-Uncaged-DVD/dp/B081KQ2NTY/ref=sr_1_2?crid=3AEN2LCEDK0HJ&keywords=47+meters+down+uncaged+movie&qid=1577972928&s=instant-video&sprefix=47+Meters+Down3A+Uncaged2Cinstant-video2C226&sr=1-2-catcorr,,Entertainment Studios,5.0,18,"Aug 16, 2019",,
A Beautiful Day in the Neighbourhood,2019,original screenplay,95,80,88,91,71,20,81,7,,drama,13251238,13.3,37144754,37.1,0.0,0,37144754,37.1,0.0,25.0,148.58%,53.20%,,,https://www.amazon.co.uk/Beautiful-Day-Neighbourhood-Tom-Hanks/dp/B0848RVCTK/ref=sr_1_2?crid=276KZP5BKDKBU&keywords=a+beautiful+day+in+the+neighborhood&qid=1694218183&sprefix=a+beautiful+day+in+the+%2Caps%2C261&sr=8-2,,Sony Pictures,7.2,19,"Nov 22, 2019",,
A Dog's Way Home,2019,adaptation,62,50,56,73,51,22,62,-6,,"adventure, drama, family",11251263,11.3,42004346,42.0,33.1,33054369,75058715,75.1,44.1,18.0,416.99%,62.78%,,,https://www.amazon.co.uk/Dogs-Way-Home-Chris-Bauer/dp/B07N1VQCXY/ref=sr_1_2?keywords=A+Dog27s+Way+Home&qid=1557072732&s=instant-video&sr=1-2,,Sony Pictures,6.7,6,"Jan 11, 2019",,
A Dog’s Journey,2019,adaptation,50,43,47,92,70,22,81,-35,,drama,8030085,8.0,22546590,22.5,49.2,49200000,71746590,71.7,68.6,22.0,326.12%,36.36%,,,https://www.amazon.co.uk/Dogs-Journey-Marg-Helgenberger/dp/B07WZ116NH/ref=sr_1_1?keywords=A+DogE28099s+Journey&qid=1577972984&s=instant-video&sr=1-1,,Universal Pictures,7.4,18,"May 17, 2019",,
A Hidden Life,2019,based on a true story,83,79,81,71,88,-17,80,2,,"biography, drama, romance",50383,0.1,1015637,1.0,1.0,1015637,2031274,2.0,50.0,8.0,25.39%,1.25%,,,https://www.amazon.co.uk/Hidden-Life-Terrence-Malick/dp/B083ZWJ1VB/ref=sr_1_1?crid=28QG0SFYB8YMJ&keywords=a+hidden+life&qid=1694218201&sprefix=a+hidden+life%2Caps%2C224&sr=8-1,,Fox Searchlight,7.4,-3,"Dec 13, 2019",,
A Madea Family Funeral,2019,original screenplay,11,39,25,31,40,-9,36,-11,,"comedy, drama",27062332,27.1,73257045,73.3,1.5,1524954,74781999,74.8,2.0,20.0,373.91%,135.50%,,,https://www.amazon.co.uk/Tyler-Perrys-Madea-Family-Funeral/dp/B07S86XJD4/ref=sr_1_1?crid=3482HNUIRJPSW&keywords=a+madea+family+funeral&qid=1694550513&s=instant-video&sprefix=a+madea+famil%2Cinstant-video%2C161&sr=1-1,,Lionsgate,4.6,-15,"Mar 1, 2019",,
Abominable,2019,original screenplay,80,61,71,95,57,38,76,-6,,adventure,20612100,20.6,60196485,60.2,116.0,116000000,176196485,176.2,65.8,75.0,234.93%,27.47%,,,https://www.amazon.co.uk/Abominable-Chloe-Bennet/dp/B07YM1R8BL/ref=sr_1_1?crid=2J95SE0GTUDCL&keywords=abominable+2019&qid=1577973009&s=instant-video&sprefix=Abominable2Cinstant-video2C144&sr=1-1,,Universal Pictures,7.0,25,"Sep 27, 2019",,
Ad Astra,2019,original screenplay,84,80,82,40,62,-22,51,31,,"thriller, sci-fi",19001398,19.0,50175123,50.2,77.0,76987552,127162675,127.2,60.5,90.0,141.29%,21.11%,,,https://www.amazon.co.uk/Ad-Astra-Brad-Pitt/dp/B07XT8YM1B/ref=sr_1_1?keywords=Ad+Astra&qid=1577973022&s=instant-video&sr=1-1,,20th Century Fox,6.5,-25,"Sep 20, 2019",,
After,2019,original screenplay,18,30,24,65,45,20,55,-31,,"drama, romance",6002349,6.0,12138565,12.1,45.8,45788285,57926850,57.9,79.1,14.0,413.76%,42.86%,,,https://www.netflix.com/gb/title/80244311,,Aviron Pictures,5.3,12,"Apr 12, 2019",,
