Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2020/?grossesOption=calendarGrosses
1917,2020,original screenplay,89,78,83,88,83,5,86,-3,drama,,36500000,36.5,159227644,159.2,229.9,229912796,389140440,389.1,59.1,100.0,389.14%,36.50%,Oscar Winner,"Best Cinematography, Best Visual Effects, Best Sound Mixing",https://www.amazon.co.uk/1917-George-MacKay/dp/B0832LXF9N/ref=sr_1_1?crid=2RFZ328CTDUB0&keywords=1917&qid=1695320690&s=instant-video&sprefix=191%2Cinstant-video%2C197&sr=1-1,,Universal Pictures,8.2,6,"Jan 10, 2020",,
2 Hearts,2020,based on a true story,17,29,23,87,-,-,-,-,romance,,522937,0.5,1349286,1.3,-,-,1349286,1.3,-,15.0,9.00%,3.33%,,,https://www.amazon.co.uk/2-Hearts-Jacob-Elordi/dp/B08VYWNXJ5/ref=sr_1_1?crid=D33W17B5QDU3&keywords=2+hearts&qid=1695320803&s=instant-video&sprefix=2+hearts%2Cinstant-video%2C200&sr=1-1,,Freestyle Releasing,6.3,24,"Oct 16, 2020",,
After We Collided,2020,adaptation,12,14,14,93,48,45,71,-57,drama,,1199425,1.2,2386483,2.4,40.9,40919909,43306392,43.3,94.5,14.0,309.33%,8.57%,,,https://www.amazon.co.uk/After-We-Collided-Josephine-Langford/dp/B08R58MWJ8/ref=sr_1_1?crid=11J1NLBW24I6K&keywords=after+we+collided&qid=1695320813&s=instant-video&sprefix=after+we+collided%2Cinstant-video%2C182&sr=1-1,,Open Road Films,5,43,"Oct 23, 2020",,
Bad Boys for Life,2020,original screenplay,76,59,68,96,66,30,81,-13,action,,62594105,63.0,206305244,206.3,220.0,220200000,426505244,426.5,51.6,90.0,473.89%,70.00%,,,https://www.amazon.co.uk/Bad-Boys-Life-Will-Smith/dp/B083XRVMXJ/ref=sr_1_1?crid=3GM42PX92ULCB&keywords=bad+boys+for+life&qid=1695321453&s=instant-video&sprefix=bad+boys+for+lif%2Cinstant-video%2C188&sr=1-1,,Sony Pictures,6.5,31,"Jan 17, 2020",,
Becky,2020,original screenplay,72,54,63,57,55,2,56,7,action,,209394,0.2,1003700,1.0,0.0,42173,1045873,1,0.0,-,-,-,,,https://www.amazon.co.uk/Becky-Kevin-James/dp/B08H7PHRHC/ref=sr_1_1?crid=1PP62U30HD00W&keywords=becky&qid=1695321466&s=instant-video&sprefix=becky%2Cinstant-video%2C203&sr=1-1,,Quiver Distribution,6,-3,"Jun 5, 2020 (limited), Jun 12, 2020 (VOD)",,
Bill & Ted Face the Music,2020,original screenplay,82,65,74,65,60,5,63,11,adventure,,1125007,1.1,3439660,3.4,2.8,2834367,6274027,6.2,45.2,25.0,25.10%,4.40%,,,https://www.amazon.co.uk/Bill-Face-Music-Keanu-Reeves/dp/B08HW3WP8Y/ref=sr_1_1?crid=3OYGZN3OO9HIJ&keywords=bill+and+ted+face+the+music&qid=1695321475&s=instant-video&sprefix=bill+and+ted+%2Cinstant-video%2C183&sr=1-1,,Orion Pictures,5.9,6,"Aug 28, 2020",,
Birds of Prey,2020,original screenplay,78,60,69,78,31,47,55,14,action,,33010017,33.0,84158461,84.2,116.8,116847091,201005552,201,58.1,143.2,140.37%,23.04%,,,https://www.amazon.co.uk/Birds-Fantabulous-Emancipation-Harley-Quinn/dp/B084JH5GBF/ref=sr_1_2?crid=1884U2YL3N443&keywords=another+round&qid=1695321412&s=instant-video&sprefix=another+round%2Cinstant-video%2C218&sr=1-2,,Warner Bros. Pictures,6.1,17,"Feb 7, 2020",,
Bloodshot,2020,adaptation,31,44,38,78,51,27,65,-27,action,,9176695,9.1,12561824,12.6,27.2,27299294,39861118,39.8,68.3,45.0,88.58%,20.22%,,,https://www.amazon.co.uk/Bloodshot-Vin-Diesel/dp/B085P1BHRL/ref=sr_1_1?crid=1O9CMRCIMM15U&keywords=bloodshot&qid=1695321485&s=instant-video&sprefix=bloodshot%2Cinstant-video%2C185&sr=1-1,,Sony Pictures,5.7,21,"Mar 13, 2020",,
Brahms: The Boy II,2020,sequel,10,29,20,44,43,1,44,-24,drama,,5823006,5.8,12611536,12.6,7.7,"7,700,00",21311536,21.3,36.2,10.0,213.12%,58.00%,,,https://www.amazon.co.uk/Brahms-Boy-2-Katie-Holmes/dp/B088P8HCKZ/ref=sr_1_2?crid=27NN54L7HUP3G&keywords=brahms+the+boy&qid=1695321494&s=instant-video&sprefix=brahms+the+bo%2Cinstant-video%2C212&sr=1-2,,STX Entertainment,4.7,-3,"Feb 21, 2020",,
Come Play,2020,original screenplay,56,58,57,67,61,6,64,-7,drama,,3119875,3.1,10475990,10.5,2.7,2706264,13182254,13.1,20.6,9.0,146.47%,34.44%,,,https://www.amazon.co.uk/Come-Play-Gillian-Jacobs/dp/B09GWCMRF2/ref=sr_1_1?crid=2PY7TF26FX532&keywords=come+play&qid=1695321505&s=instant-video&sprefix=come+play%2Cinstant-video%2C191&sr=1-1,,Focus Features,5.7,10,"Oct 30, 2020",,
