Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2021/
12 Mighty Orphans,2021,,63,44,54,94,66,28,80,-27,drama,"history, sport",251569,0.3,3689637,3.7,,,5599772,5.6,,-,-,-,,,https://www.amazon.co.uk/12-Mighty-Orphans-Luke-Wilson/dp/B09MYNYWW6/ref=sr_1_1?keywords=12+mighty+orphans&qid=1694135915&s=instant-video&sprefix=12+mighty+o2Cinstant-video2C161&sr=1-1,,Sony Pictures Entertainment (SPE),6.9,25,"June 11, 2021",,
A Journal for Jordan,2021,,39,42,41,95,52,43,74,-33,drama,romance,2201886,2.2,6545174,6.5,,,6682685,6.7,,25.0,26.73%,8.81%,,,https://www.amazon.co.uk/Journal-Jordan-Michael-B/dp/B09QGV59LQ/ref=sr_1_1?keywords=a+journal+for+jordan&qid=1694135785&s=instant-video&sprefix=a+journal+for+2Cinstant-video2C429&sr=1-1,,Sony Pictures Entertainment (SPE),5.9,36,"December 10, 2021",,
A Quiet Place Part II,2021,,91,71,81,92,72,20,82,-1,thriller,"sci-fi, drama, horror",47547231,47.5,160072261,160.1,,,296650356,296.7,,61.0,486.31%,77.95%,,,https://www.amazon.co.uk/Quiet-Place-Part-II/dp/B08P82X7CX/ref=sr_1_1?crid=BQEJTPLUGTU5&keywords=a+quiet+place+2&qid=1693590768&s=instant-video&sprefix=a+quiet+pla2Cinstant-video2C172&sr=1-1,,Paramount Pictures,7.2,20,"May 28, 2021",,
After We Fell,2021,,0,-,0,36,-,-,36,-36,drama,"romance, thriller",426457,0.4,2170750,2.2,,,19512726,19.5,,-,-,-,,,https://www.amazon.co.uk/After-We-Fell-Josephine-Langford/dp/B09JB6JD44/ref=sr_1_1?crid=15TBEN3ZW3K5M&keywords=after+we+fell&qid=1694136182&s=instant-video&sprefix=after+we+2Cinstant-video2C241&sr=1-1,,Vertical Entertainment,4.7,-11,"September 30, 2021 (limited release), October 21, 2021 (VOD)",,
American Underdog,2021,,76,53,65,98,54,44,76,-12,biography,"drama, sport",5861836,5.9,26514814,26.5,,,-,-,,25.0,-,23.45%,,,https://www.amazon.co.uk/American-Underdog-Zachary-Levi/dp/B09XJF8GTM/ref=sr_1_1?crid=32TSAN2YONI43&keywords=american+underdog&qid=1694135085&s=instant-video&sprefix=american+under2Cinstant-video2C152&sr=1-1,,Lionsgate,7.1,27,"December 25, 2021",,
Antlers,2021,,59,57,58,67,56,11,62,-4,horror,"mystery, thriller",4271346,4.3,10619670,10.6,,,35680402,35.7,,16.7,213.66%,25.58%,,,https://www.amazon.co.uk/Antlers-Keri-Russell/dp/B09NCDLJXY/ref=sr_1_1?crid=9MJRGWYH702D&keywords=antlers&qid=1694135584&s=instant-video&sprefix=antlers2Cinstant-video2C157&sr=1-1,,Searchlight Pictures,5.9,8,"October 29, 2021",,
Belfast,2021,,86,75,81,92,67,25,80,1,drama,-,1779410,1.8,9250870,9.3,,,49506982,49.5,,11.0,450.06%,16.18%,,,https://www.amazon.co.uk/Belfast-Judi-Dench/dp/B09RQD9VL4/ref=sr_1_1?crid=2A7VNINI84S54&keywords=belfast&qid=1694135613&s=instant-video&sprefix=belfas2Cinstant-video2C225&sr=1-1,,Focus Features,7.3,19,"November 12, 2021 (limited release), November 19, 2021 (wide release)",,
Black Widow,2021,,79,68,74,91,60,31,76,-2,action,"adventure, sci-fi",80366312,80.4,183651655,183.7,,,37975113,38.0,,200.0,18.99%,40.18%,,,https://www.amazon.co.uk/Black-Widow-Scarlett-Johansson/dp/B09BRF5862/ref=sr_1_1?crid=1LM35HYZIC4ZE&keywords=black+widow&qid=1693589812&s=instant-video&sprefix=black+widow2Cinstant-video2C165&sr=1-1,,Walt Disney Studios Motion Pictures,6.7,24,"July 9, 2021",,
Boogie,2021,,42,54,48,57,60,-3,59,-11,drama,sport,1200165,1.2,4178620,4.2,,,4191023,4.2,,20.0,20.96%,6.00%,,,https://www.amazon.co.uk/Boogie-Taylor-Takahashi/dp/B09CN2F9ZV/ref=sr_1_2?crid=37S77F4EIS3XQ&keywords=boogie&qid=1694135855&s=instant-video&sprefix=boogie2Cinstant-video2C204&sr=1-2,,Focus Features,5.2,5,"March 5, 2021",,
C'mon C'mon,2021,,94,82,88,79,73,6,76,12,drama,-,134447,0.1,1863674,1.9,,,3299430,3.3,,8.3,39.75%,1.62%,,,https://www.amazon.co.uk/Cmon-Joaquin-Phoenix/dp/B09PR866QJ/ref=sr_1_1?crid=14BH10UU913XK&keywords=c27mon+c27mon&qid=1694136219&s=instant-video&sprefix=c27mon+c27mon2Cinstant-video2C175&sr=1-1,,A24,7.4,5,"November 19, 2021",,
Candyman,2021,,84,72,78,72,50,22,61,17,thriller,"horror, mystery",22001750,22.0,61186570,61.2,,,77386663,77.4,,25.0,309.55%,88.01%,,,https://www.amazon.co.uk/Candyman-Yahya-Abdul-Mateen-II/dp/B09HY4ZLWZ/ref=sr_1_2?crid=1EG1YJWGQHXEK&keywords=candyman&qid=1693592858&s=instant-video&sprefix=candyman2Cinstant-video2C174&sr=1-2,,Universal Pictures,5.9,13,"August 27, 2021",,
