Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",film list here https://www.boxofficemojo.com/year/2022/
After Ever Happy,2022,,0,-,0,92,43,49,68,-68,drama,romance,-,-,989088,1.0,11.5,11474540,12463628,12.5,92.06%,-,-,-,,,,,Voltage Pictures,4.6,46,,,
Aftersun,2022,,96,95,96,82,80,2,81,15,drama,-,60752,0.1,1658791,1.7,6.2,6175614,7834405,7.8,78.83%,-,-,-,,,,,A24,7.7,5,,,
Ambulance,2022,,69,55,62,88,56,32,72,-10,thriller,"action, mystery",8699630,8.7,22309115,22.3,29.5,29518755,51827870,51.8,56.96%,40.0,129.57%,21.75%,,,,,Universal Pictures,6.1,27,,,
Amsterdam,2022,,32,48,40,62,52,10,57,-17,comedy,"drama, history, mystery, thriller",6444896,6.4,14947969,14.9,14.5,14452857,29400826,29.4,49.16%,80.0,36.75%,8.06%,,,,,Walt Disney Studios Motion Pictures,6.1,1,,,
Armageddon Time,2022,,75,74,75,48,66,-18,57,18,drama,-,70275,0.1,1860050,1.9,4.7,4695609,6555659,6.6,71.63%,15.0,43.70%,0.47%,,,,,Universal Pictures,6.5,-17,,,
Babylon,2022,,57,61,59,52,70,-18,61,-2,comedy,"drama, history",3603368,3.6,15351455,15.4,47.9,47911183,63262638,63.3,75.73%,110.0,57.51%,3.28%,,,,,Paramount Pictures,7.1,-19,,,
Barbarian,2022,,92,78,85,71,74,-3,73,13,thriller,horror/mystery,10543948,10.5,40842944,40.8,4.5,4509393,45352337,45.4,9.94%,4.5,1007.83%,234.31%,,,,,20th Century Studios,7.0,1,,,
Beast,2022,,68,54,61,77,48,29,63,-1,thriller,"mystery, adventure",11575855,11.6,31846530,31.8,27.3,27321809,59168339,59.2,46.18%,36.0,164.36%,32.16%,,,,,Universal Pictures,5.6,21,,,
Black Adam,2022,,39,41,40,89,72,17,81,-41,action,"adventure, sci-fi, fantasy",67004323,67.0,168152111,168.2,223.1,223109595,391261706,391.3,57.02%,200.0,195.63%,33.50%,,,,,Warner Bros. Pictures,6.3,26,,,
Black Panther: Wakanda Forever,2022,,84,67,76,94,54,40,74,2,action,"adventure, sci-fi, drama, thriller, fantasy",181339761,181.3,453829060,453.8,400.2,400156486,853985546,854.0,46.86%,250.0,341.59%,72.54%,Oscar Winner,Best Costume Design,,,Walt Disney Studios Motion Pictures,6.7,27,,,
Bodies Bodies Bodies,2022,,85,69,77,69,57,12,63,14,comedy,"horror, thriller",226653,0.2,11446602,11.4,2.6,2583153,14029755,14.0,18.41%,-,-,-,,,,,A24,6.2,7,,,
Bones and All,2022,,82,74,78,62,70,-8,66,12,drama,"horror, romance",121004,0.1,7834907,7.8,6.3,6284369,14119276,14.1,44.51%,20.0,70.60%,0.61%,,,,,Metro-Goldwyn-Mayer (MGM),6.8,-6,,,
Breaking,2022,,81,66,74,84,47,37,66,8,crime,"drama, thriller",985921,1.0,2806359,2.8,-,-,-,-,-,-,-,-,,,,,Bleecker Street,6.2,22,,,
Bros,2022,,88,72,80,90,41,49,66,15,comedy,romance,4854125,4.9,11628165,11.6,3.2,3203632,14831797,14.8,21.60%,22.0,67.42%,22.06%,,,,,Universal Pictures,6.4,26,,,
Bullet Train,2022,,53,49,51,76,71,5,74,-23,action,thriller,30030156,30.0,103368602,103.4,135.2,135166361,238534963,238.5,56.67%,85.9,277.69%,34.96%,,,,,Sony Pictures,7.3,3,,,
Clerks III,2022,,63,50,57,93,49,44,71,-15,comedy,drama,674330,0.7,4663106,4.7,0.1,74849,4737955,4.7,1.58%,7.0,67.69%,9.63%,,,,,Lionsgate Films,6.3,30,,,
Crimes of the Future,2022,,80,67,74,50,62,-12,56,18,drama,"horror, sci-fi",1117962,1.1,2452882,2.5,1.2,1150002,3602884,3.6,31.92%,27.0,13.34%,4.14%,,,,,Vertigo Films,5.8,-8,,,
Cyrano,2022,,85,66,76,86,55,31,71,5,drama,"musical, romance",1385995,1.4,3873124,3.9,2.1,2113800,5986924,6.0,35.31%,30.0,19.96%,4.62%,,,,,Universal Pictures,6.4,22,,,
DC League of Super-Pets,2022,,73,56,65,88,58,30,73,-9,action,"adventure, sci-fi, fantasy, comedy, crime, animation, family",23003441,23.0,93656856,93.7,110.2,110200000,203856856,203.9,54.06%,90.0,226.51%,25.56%,,,,,Warner Bros. Pictures,7.1,17,,,
Death on the Nile,2022,,62,52,57,82,55,27,69,-12,thriller,"mystery, crime",12891123,12.9,45630104,45.6,84.7,84668080,130298184,130.3,64.98%,90.0,144.78%,14.32%,,,,,20th Century Studios,6.3,19,,,
Devotion,2022,,82,66,74,92,61,31,77,-3,drama,"war, history",5902803,5.9,20511938,20.5,0.4,357948,20869886,20.9,1.72%,90.0,23.19%,6.56%,,,,,Sony Pictures,6.6,26,,,
