Date,Land Class,Land Category,Commodity,Volume
01/01/2003,Native American,Onshore,Oil Prod Vol (bbl),999810
01/01/2003,Federal,Onshore,Coal Prod Vol (tons),37822686
01/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8403385
01/01/2003,Federal,Onshore,Gas Prod Vol (mcf),253491221
01/01/2003,Native American,Onshore,Gas Prod Vol (mcf),33558379
01/01/2003,Native American,Onshore,Coal Prod Vol (tons),2400984
01/01/2003,Federal,Offshore,Gas Prod Vol (mcf),388885159
01/01/2003,Federal,Offshore,Oil Prod Vol (bbl),51902059
02/01/2003,Federal,Onshore,Coal Prod Vol (tons),33743641
02/01/2003,Native American,Onshore,Coal Prod Vol (tons),2329191
02/01/2003,Native American,Onshore,Oil Prod Vol (bbl),898850
02/01/2003,Native American,Onshore,Gas Prod Vol (mcf),29708940
02/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7488224
02/01/2003,Federal,Onshore,Gas Prod Vol (mcf),233822369
02/01/2003,Federal,Offshore,Oil Prod Vol (bbl),47525873
02/01/2003,Federal,Offshore,Gas Prod Vol (mcf),357119934
03/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8331285
03/01/2003,Federal,Onshore,Gas Prod Vol (mcf),256821068
03/01/2003,Native American,Onshore,Oil Prod Vol (bbl),962985
03/01/2003,Native American,Onshore,Coal Prod Vol (tons),2144013
03/01/2003,Native American,Onshore,Gas Prod Vol (mcf),32567382
03/01/2003,Federal,Offshore,Oil Prod Vol (bbl),52454020
03/01/2003,Federal,Offshore,Gas Prod Vol (mcf),403639747
03/01/2003,Federal,Onshore,Coal Prod Vol (tons),34916953
04/01/2003,Native American,Onshore,Coal Prod Vol (tons),2526695
04/01/2003,Native American,Onshore,Oil Prod Vol (bbl),935429
04/01/2003,Native American,Onshore,Gas Prod Vol (mcf),30727241
04/01/2003,Federal,Offshore,Gas Prod Vol (mcf),392050292
04/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49826417
04/01/2003,Federal,Onshore,Gas Prod Vol (mcf),242613844
04/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7923496
04/01/2003,Federal,Onshore,Coal Prod Vol (tons),35430343
05/01/2003,Native American,Onshore,Oil Prod Vol (bbl),949522
05/01/2003,Native American,Onshore,Coal Prod Vol (tons),2860051
05/01/2003,Federal,Offshore,Gas Prod Vol (mcf),396751029
05/01/2003,Federal,Offshore,Oil Prod Vol (bbl),50378496
05/01/2003,Federal,Onshore,Coal Prod Vol (tons),36677762
05/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31507188
05/01/2003,Federal,Onshore,Gas Prod Vol (mcf),237786321
05/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8239657
06/01/2003,Native American,Onshore,Oil Prod Vol (bbl),899785
06/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49264122
06/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31006326
06/01/2003,Native American,Onshore,Coal Prod Vol (tons),2417336
06/01/2003,Federal,Onshore,Gas Prod Vol (mcf),236555803
06/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7931045
06/01/2003,Federal,Offshore,Gas Prod Vol (mcf),374451120
06/01/2003,Federal,Onshore,Coal Prod Vol (tons),37340028
07/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8189000
07/01/2003,Federal,Offshore,Gas Prod Vol (mcf),366363431
07/01/2003,Federal,Offshore,Oil Prod Vol (bbl),48285218
07/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31813481
07/01/2003,Native American,Onshore,Oil Prod Vol (bbl),921893
07/01/2003,Native American,Onshore,Coal Prod Vol (tons),2532307
07/01/2003,Federal,Onshore,Gas Prod Vol (mcf),244378990
07/01/2003,Federal,Onshore,Coal Prod Vol (tons),37367365
08/01/2003,Federal,Offshore,Gas Prod Vol (mcf),379148090
08/01/2003,Federal,Offshore,Oil Prod Vol (bbl),50848807
08/01/2003,Native American,Onshore,Gas Prod Vol (mcf),32129568
08/01/2003,Native American,Onshore,Oil Prod Vol (bbl),902501
08/01/2003,Native American,Onshore,Coal Prod Vol (tons),2622021
08/01/2003,Federal,Onshore,Gas Prod Vol (mcf),247407508
08/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8183544
08/01/2003,Federal,Onshore,Coal Prod Vol (tons),38954190
09/01/2003,Federal,Onshore,Coal Prod Vol (tons),36506801
09/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7976595
09/01/2003,Federal,Onshore,Gas Prod Vol (mcf),247385092
09/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31013432
09/01/2003,Native American,Onshore,Oil Prod Vol (bbl),883130
09/01/2003,Native American,Onshore,Coal Prod Vol (tons),3153896
09/01/2003,Federal,Offshore,Gas Prod Vol (mcf),359169566
09/01/2003,Federal,Offshore,Oil Prod Vol (bbl),48434837
10/01/2003,Native American,Onshore,Coal Prod Vol (tons),2576086
10/01/2003,Native American,Onshore,Oil Prod Vol (bbl),927609
10/01/2003,Native American,Onshore,Gas Prod Vol (mcf),32046374
10/01/2003,Federal,Onshore,Coal Prod Vol (tons),37838612
10/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8216996
10/01/2003,Federal,Onshore,Gas Prod Vol (mcf),269597158
10/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49978752
10/01/2003,Federal,Offshore,Gas Prod Vol (mcf),371088850
11/01/2003,Federal,Onshore,Oil Prod Vol (bbl),7851409
11/01/2003,Federal,Onshore,Gas Prod Vol (mcf),254972571
11/01/2003,Native American,Onshore,Gas Prod Vol (mcf),30633716
11/01/2003,Native American,Onshore,Oil Prod Vol (bbl),889309
11/01/2003,Federal,Offshore,Gas Prod Vol (mcf),349015271
11/01/2003,Federal,Offshore,Oil Prod Vol (bbl),47184399
11/01/2003,Native American,Onshore,Coal Prod Vol (tons),2417148
11/01/2003,Federal,Onshore,Coal Prod Vol (tons),36994823
12/01/2003,Native American,Onshore,Gas Prod Vol (mcf),31239996
12/01/2003,Federal,Offshore,Oil Prod Vol (bbl),49252715
12/01/2003,Native American,Onshore,Oil Prod Vol (bbl),936555
12/01/2003,Federal,Onshore,Coal Prod Vol (tons),38913508
12/01/2003,Native American,Onshore,Coal Prod Vol (tons),2526153
12/01/2003,Federal,Onshore,Gas Prod Vol (mcf),266871189
12/01/2003,Federal,Onshore,Oil Prod Vol (bbl),8114210
12/01/2003,Federal,Offshore,Gas Prod Vol (mcf),362719247
