country,beautiful thing,category,note,alternatives,source
Afghanistan,Biggest drop in teen pregnancies,HEALTH,"Decline in births per 1,000 women aged 15-19 from 163/1000 in 1990 to 69/1000 in 2017 . ",,World Bank
Albania,Most improved democracy,FREEDOM & RIGHTS,"Most improved rating, going from 1/10 in 1990 to 9/10 in 2017. ",,Systemic Peace
Algeria,First to recognise Palestine,FREEDOM & RIGHTS,,,Deloitte
Angola,Biggest drop in hunger,HEALTH,Prevalence of undernourishment in the population fell from 72% in 2000 to 25% in 2017. ,,World Bank
Argentina,"Most pets per capita 
",NICE!,80% of people have pets,"best transgender rights?, best labour protections, in adoption of GM crops?",Myanimal.com
Armenia,Most chess grand masters,SKILLZ,Most chess grand masters per capita,,Chess.com
Australia,Most natural parks,NATURE,,leader in organic agriculture  ,The Lancet
Austria,"Invented postcards!
",NICE!,,"• first biodynamic wines
• first to invent postcards
• first green roofs
• world leader in prosthetics?
• biggest solar thermal market?
",Advantage Austria
Azerbaijan,Earliest Christian state,NICE!,First to adopt Christianity as a state religion.,,Radio Free Europe
Bahrain,Use of AI in goverment,COOL TECH,"First to shape guidelines for using AI In goverment
",first to merge Islamic Finance with modern banking?,CBME
Bangladesh,First to ban plastic bags,NATURE,In 2002.,most vegetarians ,New Scientist
Belarus,First to legalize crypto,COOL TECH,,,
Belgium,First to appoint female ambassador to Saudi Arabia,WOMEN & GIRLS,2017: Belgium wanted to send a clear message to a country known for women's rights abuses.  ,,Reuters
Belize,,,,,
Benin,Least diabetes,HEALTH,Lowest diabetes prevalence. Just 1% of the population were living with diabetes in 2019 compared with a world average of 9%.,biggest improvement in happiness ,World Bank
Bhutan,Frst carbon-negative nation,NATURE,,,
Bolivia,Most sustainable forests,NATURE,"FSC-certified tropical forest, sustainable tropical forestry, certified wood production",,WWF
Bosnia & Herzegovina,,,,,
Botswana,First to protect sexual orientations in constitution,FREEDOM & RIGHTS,,,The Conversation
Brazil,Most plant species,NATURE,"With 56,215 known plant species",,Mongabay
Bulgaria,Lowest female cancer rate,HEALTH,"At 212/100k population, Bulgaria has the lowest rates of cancer among women in the world. ",,World Cancer Research Fund
Burkina Faso,First to adopt National Adaption plan for Climate Change,NATURE,,,
Burundi,Lowest CO2 emissions ,NATURE,Per capita - 0.04 metric tons CO2  in 2014 (latest global-level data),,World Bank
Cambodia,Lowest unemployment,NICE!,0.3% of the labour force is unemployed. 2020,Greatest increase in electricity - Between 2010 and 2017 the proportion of the population with access to electricity increased from 31% to 89%. ,Worldbank
Cameroon,Best Peppercorns,SKILLZ,,,Quartz
Canada,Box office hit production,SKILLZ,Highest proportion of top 100 US blockbusters were filmed in Canada. ,,FilmLA
Central African Republic,Lowest fertilizer use,NATURE,0.3 kg per hectare of arable land in 2015.,lowest prison population rate https://www.prisonstudies.org/highest-to-lowest/prison_population_rate?field_region_taxonomy_tid=All,World Bank
Chad,Best Camel Racers,SKILLZ,,,
Chile,Best for Green Tourism,NATURE,World's Best Green Tourist Destination,,IFFA
China,Solar panels,RENEWABLES,"Highest solar PV capacity  - Over 205k MW installed capacity in 2019, over 3x the next-highest, Japan (62k MW).",,IRENA
Colombia,Most bird species,NATURE,1878 known bird species,,Mongabay
Congo,100% renewable energy,RENEWABLES,,,
Costa Rica,Fewest people in slums,FREEDOM & RIGHTS,"At 6%, it has the lowest % of urban population living in slums, : ""a group of individuals living under the same roof lacking one or more of the following conditions: access to improved water, access to improved sanitation, sufficient living area, and durability of housing"".",,World Bank
Cote d'Ivoire,Best chocolate,SKILLZ,,,
Croatia,Kidney transplants ,HEALTH,Per capita,,Croatia Week
Cuba,Most doctors ,HEALTH,"Highest number of physicians per 1,000 people, at 8.2 in 2017. ",,World Bank
Cyprus,,,,"Most improved in IMD World Competitiveness Centre Report, rising 11 places in a year to rank 30 of 63 countries. ",Financial Mirror
Czechia,First ever blond beer ,NICE!,Pilsner Urquell,Most beer drinkers (per capita),Wikipedia
Denmark,Highest freedom of expression,FREEDOM & RIGHTS,"Scored 0.98 on the freedom of expression scale, where 1=full freedom and 0=no freedom. ",safest for motorcyclists http://www.fema-online.eu/website/wp-content/uploads/motorcycle_safety_and_accidents_europe_hdb_050816.pdf,Deloitte
Djibouti,First to launch program to end FGM,HEALTH,,,
Dominican Republic,"Organic bananas
",SKILLZ,,"Sweet coconut cream (2017) 
Hand rolled cigars (2020)",Business Wire
DRC Congo,,,,,
Ecuador,Greatest nature rights,NATURE,"First to grant nature constitutional rights. In 2008 a new constitution gave nature legally-enforceable rights to ""exist, flourish and evolve"". ",,Capitalism Nature Socialism
Egypt,Invented hummus,NICE!,,,BBC
El Salvador,First to ban metal mining,NATURE,,,NY Times
Equatorial Guinea,Improved pedestrian safety,FREEDOM & RIGHTS,The rate of pedestrian deaths per 100k population fell from 31 to 6 between 1990 and 2017. ,,GHDx
Eritrea,Entire coastline protected,NATURE,First country to turn its entire coastline into an evironmentally protected zone ,biggest decline in open defecation - People practicing open defecation fell from 83% of the population in 1990 to 67% in 2016. ,World Bank
Estonia,Best online user rights ,FREEDOM & RIGHTS,Highest score for freedom from violation of user rights,best maternity leave https://www.theguardian.com/us-news/2020/jan/27/maternity-leave-us-policy-worst-worlds-richest-countries,Freedom House
Eswatini,Biggest improvement in nutrition & basic medical care,HEALTH,Aggregate score covering mortality rate before age 65; infant mortality; unmet medical needs; insufficient food.,,Deloitte
Ethiopia,Kaizen',HEALTH,First to create a gov agency for 'kaizen' - Japanese principle of continuous improvement in business,,"Kimiaki Jin, 2020"
Finland,Most inclusive,FREEDOM & RIGHTS,"Highest inclusiveness score (82.28). Covers impartiality of government services; tolerance for immigrants, minorities, and homosexuals; attitudes to people with disabilities; gender gap; community safety net",happiest https://www.forbes.com/sites/laurabegleybloom/2020/03/20/ranked-20-happiest-countries-2020/#cb3af8478503,Deloitte
France,Best overall environmental quality,NATURE,"Aggregate score covers air pollution, protected land, & other environmental problems.",most michelin starred restaurants https://www.telegraph.co.uk/travel/maps-and-graphics/map-michelin-star-restaurants-countries-with-the-most/,Deloitte
Gabon,Online government participation,FREEDOM & RIGHTS,"Most improved participation in online governance - Defined as the process of engaging citizens through ICTs in policy, decision-making, and  service design and delivery in order to make it participatory, inclusive, and deliberative.",,Deloitte
Gambia,Biggest improvement in personal rights,FREEDOM & RIGHTS,"Covers distrust in the political system, legal system and police; quality and accountability of government services.",,Deloitte
Georgia,Most contactless payments,COOL TECH,,,VISA
Germany,Biogas,RENEWABLES,"Highest installed capacity of - Over 7k MW in 2019, almost 3x the next-highest, USA (2.4k MW)",,IRENA
Ghana,Fastest growing economy ,NICE!,8.8% annual GDP growth rate in 2019.,,DW
Greece,Best travel destination,NICE!,"Voted best place to visit thanks to its weather, landscape, history, culture, nightlife, and food. ",,Business Insider
Guatemala,Cardamons,SKILLZ,,,Mordor Intelligence
Guinea,,,,,Angola African Mineral
Guinea-Bissau,,,,,
Guyana,,,,,
Haiti,First modern black republic ,FREEDOM & RIGHTS,Freed from slavery,,Reuters
Honduras,Fewest smokers,HEALTH,"Lowest number of smokers. Just 2% of the adult population smoke, the lowest % worldwide. ",,Our World in Data
Hong Kong,Best healthcare,HEALTH,,highest life expectancy,Knoema
Hungary,First to ban dolphin captivity,NATURE,"After a long-running campaign, the ban in the trade of Black Sea dolphins resulted in the end of keeping dolphins in captivity in Hungary in 2002.",,WDC
Iceland,Safest country in the world,FREEDOM & RIGHTS,,,Forbes
India,Biggest reforestation project,NATURE,21million hectares committed via Bonn Challenge. ,"cheapest mobile internet https://www.cable.co.uk/mobiles/worldwide-data-pricing/#:~:text=Five%20cheapest%20packages%20in%20the,and%20Ukraine%20(%240.46).

most tigers

most bank holidays https://www.telegraph.co.uk/travel/maps-and-graphics/mapped-the-countries-that-have-the-most-bank-holidays/",Bonn Challenge
Indonesia,Most mammal species,NATURE,670 known species,most orangutans ,Mongabay
Iran,Pistachios,SKILLZ,Iran increased its university score by 600% 2014-2018 (from 3 to 21). ,most paid time off https://www.dailymail.co.uk/femail/article-7344143/Which-countries-Paid-Time-year.html,Deloitte
Iraq,Increasing internet users,DEVELOPMENT,Proportion of population using the internet grew from 1% in 2008 to 75% in 2018. ,,World Bank
Ireland,Highest GDP growth rate ,DEVELOPMENT,Per person - 7.1% annual growth in 2018. ,,World Bank
Israel,Most startups,SKILLZ,Highest number of startups per capita worldwide (1 per 1400 people),,Apex
Italy,Access to Justice,FREEDOM & RIGHTS,Highest access to justice score - Score of 0.99/1.00 in 2018. ,"healthiest country https://www.bloomberg.com/news/articles/2017-03-20/italy-s-struggling-economy-has-world-s-healthiest-people

most UNESCO sites",Deloitte
Jamaica,Strongest stock exchange,DEVELOPMENT,"""Exemplary"" implementation of an International Monetary Fund program turned the economy around. ",,Financial Times
Japan,"Lowest disease death rate
",FREEDOM & RIGHTS,"Lowest rate of deaths from non-communicable diseases (e.g. stroke, heart disease, cancer), at 169/100k population. ","most powerful passport (191 countries)
Paternity leave https://www.unicef.org/media/55696/file/Family-friendly%20policies%20research%202019.pdf",Deloitte
Jordan,Mental health support,NICE!,"First country to implement WHO's mental health action program
",first country to vaccination refugees for COVID-19 for free first country to open a solar power plant in a refugee camp,WHO
Kazakhstan,Most kids completing secondary school,DEVELOPMENT,"Highest proportion of kids completing lower secondary school in 2019, at 118% (rate can exceed 100% for various reasons, e.g. late entrants, kids repeating etc).",,World Bank
Kenya,"Best runners
",SKILLZ,,first completely mobile bank accounts,Financial Times
Kosovo,Lowest methane emissions,NATURE,"Zero (kt CO2 equivalent) methane emissions according to latest data (2010), tied with Montenegro. ",,World Bank
Kuwait,Most mobile phones,COOL TECH,,100% of the population have access to safely managed sanitation services. Tied with Singapore. ,World Bank
Kyrgyzstan,First to eradicate statelessness,FREEDOM & RIGHTS,"2019 - identified over 13,700 stateless people living in the country and gave them citizenship. ",,UN Refugee Agency
Laos,Biggest increase in vegetable intake,HEALTH,"From 14.6kg per person per year in 1990, to 207kg in 2017. ",biggest improvement in rural sanitation https://docs.google.com/spreadsheets/d/1zolTt0KFh0RFuwBy8pb3Hw0BrRteH0sCabyLhNJolT4/edit#gid=330105418,Our World in Data
Latvia,Most women,WOMEN & GIRLS,Relative to men. 100 women to 84.8 men,,
Lebanon,,,,,
Lesotho,Highest education spending,DEVELOPMENT,"Highest government expenditure on education as % of GDP, at 7.4% in 2017. ",,World Bank
Liberia,Most improved contraceptive access,HEALTH,"Biggest improvement in % of women accessing the contraception they need, from 38% to 50% 2014-2018.",,Deloitte
Libya,,,,,
Lithuania,Least kidnapping,FREEDOM & RIGHTS,Kidnapping rate of zero. ,,UNODC
Luxembourg,First for free public transport,NICE!,,,
