"Facility Type","Facility Number","Facility Name","Licensee","Facility Email","Facility Administrator","Facility Telephone Number","Facility Address","Facility City","Facility State","Facility Zip","County Name","Regional Office","Facility Capacity","Facility Status","License First Date","Closed Date","Last Visit Date","Inspection Visits","Complaint Visits","Other Visits","Total Visits","Citation Numbers","POC Dates","All Visit Dates","Inspection Visit Dates","Inspect TypeA","Inspect TypeB","Other Visit Dates","Other TypeA","Other TypeB","Complaint Info- Date, #Sub Aleg, # Inc Aleg, # Uns Aleg, # TypeA, # TypeB ..."
"HOME CARE","344700070","1 ALCA CAREGIVERS FOR HOMEBOUND","CAREGIVERS FOR HOMEBOUND LLC","ALCATABORA@GMAIL.COM","JENICLAIRE TABORA","(916) 667-3069","10150 CORNICE WAY","ELK GROVE","CA","95757","SACRAMENTO","47","","LICENSED","9/9/2019","","12/9/2021","1","0","0","1","","","12/09/2021","12/09/2021","0","0","","0","0","No Complaints"
"HOME CARE","344700077","1 ALLSTAR HOME CARE LLC","1 ALLSTAR HOME CARE LLC","DAN.DYER@1ALLSTAR.COM","DAN DYER","(916) 458-5323","6060 SUNRISE VISTA DRIVE #2160","CITRUS HEIGHTS","CA","95610","SACRAMENTO","47","","CLOSED","12/16/2019","10/1/2020","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700902","1 BELOVED CARE AGENCY","1 BELOVED CARE AGENCY","ONEBELOVEDCAREAGENCY@GMAIL.COM","CHERUTO, ELIZABETH","(562) 349-2814","4540 N LARK ELLEN AVE #30","COVINA","CA","91722","LOS ANGELES","47","","LICENSED","9/27/2022","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700018","1 HEART CAREGIVER SERVICES","JCMFB, LLC","","JOVI VIRATA","(949) 679-7705","4630 CAMPUS DR STE 200-I","NEWPORT BEACH","CA","92660","ORANGE","47","","CLOSED","6/16/2016","8/16/2019","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700997","1 NURSE CARE SQUAD","1111 BLS LLC","1NURSECARESQUAD@GMAIL.COM","HENNA TAYLOR","(661) 998-9961","22018 LEMARSH ST.","CHATSWORTH","CA","91311","LOS ANGELES","47","","PENDING","","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700003","1 SAINT","1 SAINT LLC","CLIENTSERVICES@1SAINT.COM","JANICE RACHELLE JABONERO","(714) 975-3025","6 CENTERPOINTE DR STE 700","LA PALMA","CA","90623","ORANGE","47","","LICENSED","6/29/2016","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700384","1 SOUTH BAY IN-HOME SENIOR CARE, INC","1 SOUTH BAY IN-HOME SENIOR CARE, INC.","MARTYOLANDA@GMAIL.COM","YOLANDA MARTINEZ","(310) 533-1131","21221 S. WESTERN AVE, STE 155","TORRANCE","CA","90501","LOS ANGELES","47","","LICENSED","8/25/2016","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","364700098","1 TRUE LOVE HOME CARE INC","1 TRUE LOVE HOME CARE INC","DANICA_DONITA@YAHOO.COM","EDRALIN, FERDINAND","(714) 683-3219","1100 W. TOWN&COUNTRY RD. 1250","ORANGE","CA","92868","SAN BERNARDINO","47","","CLOSED","11/25/2020","2/10/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","434700161","123 HOMECARE SERVICES, INC.","123 HOMECARE SERVICES, INC.","TTYMAIL@YAHOO.COM","YAN, TINGTING","(408) 460-6886","10331 STOKES AVE","CUPERTINO","CA","95014","SANTA CLARA","47","","CLOSED","9/14/2021","9/14/2023","6/7/2022","1","0","0","1","","","06/07/2022","06/07/2022","0","0","","0","0","No Complaints"
"HOME CARE","194700836","123 HOMECARE UNLIMITED LLC","HOME CARE ASSISTANCE OF CA LLC","COMPLIANCE@HOMECAREASSISTANCE.COM","DAVIS, KURT","(310) 361-8558","3407 WEST 6TH ST STE 709","LOS ANGELES","CA","90020","LOS ANGELES","47","","CLOSED","2/1/2022","11/7/2022","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700349","123 HOMECARE UNLIMITED LLC","HOME CARE ASSISTANCE OF CA LLC","COMPLIANCE@HOMECAREASSISTANCE.COM","PARKER, ANDREW","(949) 270-5299","17581 IRVINE BLVD STE 206","TUSTIN","CA","92780","ORANGE","47","","CLOSED","2/1/2022","11/7/2022","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700835","123 HOMECARE UNLIMITED LLC","HOME CARE ASSISTANCE OF CA LLC","COMPLIANCE@HOMECAREASSISTANCE.COM","DAVIS, KURT","(949) 270-5299","20335 VENTURA BLVD STE 201","WOODLAND HILLS","CA","91364","LOS ANGELES","47","","CLOSED","2/1/2022","11/7/2022","3/21/2022","1","0","0","1","","","03/21/2022","03/21/2022","0","0","","0","0","No Complaints"
