id,task,task_label,contestant,contestant_label,PO,base,adjustment,points,rank,episode,series,team,team_label,location,location_label
1,1,The most unusual item,3,Frank Skinner,1,4,,4,2,4,4,,,,
2,1,The most unusual item,4,Josh Widdicombe,2,1,,1,5,1,1,,,,
3,1,The most unusual item,5,Roisin Conaty,3,2,,2,4,2,2,,,,
4,1,The most unusual item,6,Romesh Ranganathan,4,3,,3,3,3,3,,,,
5,1,The most unusual item,7,Tim Key,5,5,,5,1,5,5,,,,
6,2,Eat as much watermelon as possible,3,Frank Skinner,2,2,,2,4,6,6,,,,
7,2,Eat as much watermelon as possible,4,Josh Widdicombe,1,3,,3,3,4,4,,,,
8,2,Eat as much watermelon as possible,5,Roisin Conaty,3,1,,1,5,3,3,,,,
9,2,Eat as much watermelon as possible,6,Romesh Ranganathan,4=,5,,5,1,8,8,,,,
10,2,Eat as much watermelon as possible,7,Tim Key,4=,4,,4,2,9,9,,,,
11,3,Paint a horse while riding a horse,3,Frank Skinner,1=,5,,5,1,11,11,,,,
12,3,Paint a horse while riding a horse,4,Josh Widdicombe,1=,3,,3,3,7,7,,,,
13,3,Paint a horse while riding a horse,5,Roisin Conaty,5,1,,1,5,4,4,,,,
14,3,Paint a horse while riding a horse,6,Romesh Ranganathan,1=,4,,4,2,12,12,,,,
15,3,Paint a horse while riding a horse,7,Tim Key,1=,2,,2,4,11,11,,,,
16,4,Empty the bathtub,3,Frank Skinner,1=,4,,4,2,15,15,,,,
17,4,Empty the bathtub,4,Josh Widdicombe,1=,3,,3,3,10,10,,,,
18,4,Empty the bathtub,5,Roisin Conaty,3,2,,2,4,6,6,,,,
19,4,Empty the bathtub,6,Romesh Ranganathan,4=,5,,5,1,17,17,,,,
20,4,Empty the bathtub,7,Tim Key,4=,1,,1,5,12,12,,,,
21,5,Pop up a tent and pop on a onesie,3,Frank Skinner,0,4,,4,2,19,19,,,,
22,5,Pop up a tent and pop on a onesie,4,Josh Widdicombe,0,3,,3,3,13,13,,,,
23,5,Pop up a tent and pop on a onesie,5,Roisin Conaty,0,1,,1,5,7,7,,,,
24,5,Pop up a tent and pop on a onesie,6,Romesh Ranganathan,0,2,,2,4,19,19,,,,
25,5,Pop up a tent and pop on a onesie,7,Tim Key,0,5,,5,1,17,17,,,,
26,6,Find Alex,3,Frank Skinner,1=,0,,0,,19,19,,,,
27,6,Find Alex,6,Romesh Ranganathan,1=,0,,0,,19,19,,,,
28,7,The most impressive item,3,Frank Skinner,5,4,,4,2,4,23,,,,
29,7,The most impressive item,4,Josh Widdicombe,4,2,,2,4,2,15,,,,
30,7,The most impressive item,5,Roisin Conaty,3,3,,3,3,3,10,,,,
31,7,The most impressive item,6,Romesh Ranganathan,2,1,,1,5,1,20,,,,
32,7,The most impressive item,7,Tim Key,1,5,,5,1,5,22,,,,
33,8,High-five a 55-year-old,3,Frank Skinner,1=,2,,2,4,6,25,,,,
34,8,High-five a 55-year-old,4,Josh Widdicombe,4=,5,,5,1,7,20,,,,
35,8,High-five a 55-year-old,5,Roisin Conaty,4=,4,,4,2,7,14,,,,
36,8,High-five a 55-year-old,6,Romesh Ranganathan,1=,1,,1,5,2,21,,,,
37,8,High-five a 55-year-old,7,Tim Key,3,3,,3,3,8,25,,,,
38,9,Identify the contents of the pies,3,Frank Skinner,1,1,,1,5,7,26,,,,
39,9,Identify the contents of the pies,4,Josh Widdicombe,2=,2,,2,4,9,22,,,,
40,9,Identify the contents of the pies,5,Roisin Conaty,4=,4,,4,2,11,18,,,,
41,9,Identify the contents of the pies,6,Romesh Ranganathan,2=,3,,3,3,5,24,,,,
42,9,Identify the contents of the pies,7,Tim Key,4=,5,,5,1,13,30,,,,
43,10,Do something that will look impressive in reverse,3,Frank Skinner,3,1,,1,5,8,27,,,,
44,10,Do something that will look impressive in reverse,4,Josh Widdicombe,1,4,,4,3,13,26,,,,
45,10,Do something that will look impressive in reverse,5,Roisin Conaty,4,5,,5,1=,16,23,,,,
46,10,Do something that will look impressive in reverse,6,Romesh Ranganathan,5,5,,5,1=,10,29,,,,
47,10,Do something that will look impressive in reverse,7,Tim Key,2,3,,3,4,16,33,,,,
48,11,Unshackle yourself and sprint one metre,3,Frank Skinner,0,1,,1,5,9,28,,,,
49,11,Unshackle yourself and sprint one metre,4,Josh Widdicombe,0,3,,3,3,16,29,,,,
50,11,Unshackle yourself and sprint one metre,5,Roisin Conaty,0,5,,5,1,21,28,,,,
51,11,Unshackle yourself and sprint one metre,6,Romesh Ranganathan,0,4,,4,2,14,33,,,,
52,11,Unshackle yourself and sprint one metre,7,Tim Key,0,2,,2,4,18,35,,,,
53,12,The most meaningful item,3,Frank Skinner,5,4,,4,2,4,32,,,,
54,12,The most meaningful item,4,Josh Widdicombe,4,2,,2,4,2,31,,,,
55,12,The most meaningful item,5,Roisin Conaty,3,1,,1,5,1,29,,,,
56,12,The most meaningful item,6,Romesh Ranganathan,2,5,,5,1,5,38,,,,
