id,episode,episode_label,contestant,contestant_label,score,rank,series,srank
1,1,Melon buffet.,3,Frank Skinner,19,1=,19,1=
2,1,Melon buffet.,4,Josh Widdicombe,13,4,13,4
3,1,Melon buffet.,5,Roisin Conaty,7,5,7,5
4,1,Melon buffet.,6,Romesh Ranganathan,19,1=,19,1=
5,1,Melon buffet.,7,Tim Key,17,3,17,3
6,2,The pie whisperer.,3,Frank Skinner,9,5,28,4=
7,2,The pie whisperer.,4,Josh Widdicombe,16,3,29,3
8,2,The pie whisperer.,5,Roisin Conaty,21,1,28,4=
9,2,The pie whisperer.,6,Romesh Ranganathan,14,4,33,2
10,2,The pie whisperer.,7,Tim Key,18,2,35,1
11,3,The poet and the egg.,3,Frank Skinner,15,4,43,4
12,3,The poet and the egg.,4,Josh Widdicombe,22,1=,51,2=
13,3,The poet and the egg.,5,Roisin Conaty,9,5,37,5
14,3,The poet and the egg.,6,Romesh Ranganathan,22,1=,55,1
15,3,The poet and the egg.,7,Tim Key,16,3,51,2=
16,4,Down an octave.,3,Frank Skinner,14,2,57,4
17,4,Down an octave.,4,Josh Widdicombe,16,1,67,1
18,4,Down an octave.,5,Roisin Conaty,9,4=,46,5
19,4,Down an octave.,6,Romesh Ranganathan,10,3,65,2
20,4,Down an octave.,7,Tim Key,9,4=,60,3
21,5,Little denim shorts.,3,Frank Skinner,20,1,77,3
22,5,Little denim shorts.,4,Josh Widdicombe,18,2,85,1
23,5,Little denim shorts.,5,Roisin Conaty,14,4,60,5
24,5,Little denim shorts.,6,Romesh Ranganathan,16,3,81,2
25,5,Little denim shorts.,7,Tim Key,10,5,70,4
26,6,The last supper.,3,Frank Skinner,16,2,93,2=
27,6,The last supper.,4,Josh Widdicombe,9,4,94,1
28,6,The last supper.,5,Roisin Conaty,8,5,68,5
29,6,The last supper.,6,Romesh Ranganathan,12,3,93,2=
30,6,The last supper.,7,Tim Key,18,1,88,4
31,7,Fear of failure.,8,Doc Brown,9,4,9,4
32,7,Fear of failure.,9,Joe Wilkinson,8,5,8,5
33,7,Fear of failure.,10,Jon Richardson,18,2,18,2
34,7,Fear of failure.,11,Katherine Ryan,17,3,17,3
35,7,Fear of failure.,12,Richard Osman,20,1,20,1
36,8,Pork is a sausage.,8,Doc Brown,18,3,27,4
