id,series,series_label,episode,title,winner,winner_label,air_date,studio_date,points,tasks,finale,TMI
1,1,Series 1,1,Melon buffet.,3,Frank Skinner,2015-07-28,2015-03-23,75,5,0,1
2,1,Series 1,2,The pie whisperer.,5,Roisin Conaty,2015-08-04,2015-03-23,78,5,0,2
3,1,Series 1,3,The poet and the egg.,4,Josh Widdicombe,2015-08-11,2015-03-24,84,6,0,3
4,1,Series 1,4,Down an octave.,4,Josh Widdicombe,2015-08-18,2015-03-24,58,5,0,4
5,1,Series 1,5,Little denim shorts.,3,Frank Skinner,2015-08-25,2015-03-25,78,6,0,5
6,1,Series 1,6,The last supper.,7,Tim Key,2015-09-01,2015-03-25,63,5,1,6
7,2,Series 2,1,Fear of failure.,12,Richard Osman,2016-06-21,,72,5,0,7
8,2,Series 2,2,Pork is a sausage.,10,Jon Richardson,2016-06-28,,90,6,0,8
9,2,Series 2,3,A pistachio eclair.,11,Katherine Ryan,2016-07-05,,120,6,0,9
10,2,Series 2,4,Welcome to Rico Face.,8,Doc Brown,2016-07-12,,67,6,0,10
11,2,Series 2,5,There's strength in arches.,12,Richard Osman,2016-07-19,,68,5,1,11
12,3,Series 3,1,A pea in a haystack.,13,Al Murray,2016-10-04,,73,5,0,12
13,3,Series 3,2,The dong and the gong.,16,Rob Beckett,2016-10-11,,85,6,0,13
14,3,Series 3,3,Little polythene grief cave.,15,Paul Chowdhry,2016-10-18,,88,6,0,14
15,3,Series 3,4,A very nuanced character.,14,Dave Gorman,2016-10-25,,73,5,0,15
16,3,Series 3,5,The F.I.P.,16,Rob Beckett,2016-11-01,,67,5,1,16
17,4,Series 4,1,A fat bald white man.,22,Noel Fielding,2017-04-25,,77,5,0,17
18,4,Series 4,2,Look at me.,21,Mel Giedroyc,2017-05-02,,86,6,0,18
19,4,Series 4,3,Hollowing out a baguette.,19,Joe Lycett,2017-05-09,,68,6,0,19
20,4,Series 4,4,Friendship is truth.,21,Mel Giedroyc,2017-05-16,,98,6,0,20
21,4,Series 4,5,Meat.,18,Hugh Dennis,2017-05-23,,87,6,0,21
22,4,Series 4,6,Spatchcock it.,20,Lolly Adefope,2017-05-30,,77,5,0,22
23,4,Series 4,7,No stars for naughty boys.,19,Joe Lycett,2017-06-06,,92,6,0,23
24,4,Series 4,8,Tony Three Pies.,21,Mel Giedroyc,2017-06-13,,83,6,1,24
25,5,Series 5,1,Dignity intact.,24,Bob Mortimer,2017-09-13,2017-07-03,75,5,0,25
26,5,Series 5,2,The leprechaun or the lesbian.,27,Sally Phillips,2017-09-20,2017-07-03,91,6,0,26
27,5,Series 5,3,Phoenix.,24,Bob Mortimer,2017-09-27,2017-07-04,73,5,0,27
28,5,Series 5,4,Residue around the hoof.,25,Mark Watson,2017-10-04,2017-07-04,96,7,0,28
29,5,Series 5,5,A wind-dried puffin.,25,Mark Watson,2017-10-11,2017-07-05,72,5,0,29
30,5,Series 5,6,Spoony Neeson.,27,Sally Phillips,2017-10-18,2017-07-05,78,5,0,30
31,5,Series 5,7,Boing boing.,24,Bob Mortimer,2017-10-25,2017-07-06,78,6,0,31
32,5,Series 5,8,Their water's so delicious.,27,Sally Phillips,2017-11-01,2017-07-06,68,5,1,32
33,-1,CoC,1,Wiley giraffe blower.,30,Katherine Ryan,2017-12-13,2017-11-20,85,5,0,33
34,-1,CoC,2,I've sinned again.,29,Josh Widdicombe,2017-12-20,2017-11-20,79,5,0,34
35,6,Series 6,1,The old soft curved padlock.,33,Alice Levine,2018-05-02,2018-03-22,72,5,0,35
36,6,Series 6,2,Tarpeters.,35,Liza Tarbuck,2018-05-09,2018-03-22,73,6,0,36
37,6,Series 6,3,One warm prawn.,35,Liza Tarbuck,2018-05-16,2018-03-23,78,5,0,37
38,6,Series 6,4,BMXing!,36,Russell Howard,2018-05-23,2018-03-23,106,7,0,38
39,6,Series 6,5,H.,37,Tim Vine,2018-05-30,2018-03-26,107,6,0,39
40,6,Series 6,6,We met at mealtimes.,37,Tim Vine,2018-06-06,2018-03-26,87,6,0,40
41,6,Series 6,7,Roadkill doused in syrup.,36,Russell Howard,2018-06-13,2018-03-27,87,6,0,41
42,6,Series 6,8,What kind of pictures?,36,Russell Howard,2018-06-20,2018-03-27,79,5,0,42
43,6,Series 6,9,The Bubble Brothers.,33,Alice Levine,2018-06-27,2018-03-28,75,6,0,43
44,6,Series 6,10,He was a different man.,34,Asim Chaudhry,2018-07-04,2018-03-28,73,5,1,44
45,7,Series 7,1,The mean bean.,40,Kerry Godliman,2018-09-05,2018-07-19,77,5,0,45
46,7,Series 7,2,My eyes are circles.,40,Kerry Godliman,2018-09-12,2018-07-19,103,6,0,46
47,7,Series 7,3,Twelve blush majesty two.,38,James Acaster,2018-09-19,2018-07-20,74,5,0,47
48,7,Series 7,4,OLLIE.,42,Rhod Gilbert,2018-09-26,2018-07-20,78,5,0,48
49,7,Series 7,5,Lotta soup.,39,Jessica Knappett,2018-10-03,2018-07-23,89,6,0,49
50,7,Series 7,6,A coquettish fascinator.,38,James Acaster,2018-10-10,2018-07-23,87,6,0,50
51,7,Series 7,7,The perfect stuff.,42,Rhod Gilbert,2018-10-17,2018-07-24,83,6,0,51
52,7,Series 7,8,Mother honks her horn.,42,Rhod Gilbert,2018-10-24,2018-07-24,80,5,0,52
53,7,Series 7,9,The pendulum draws the eye.,40,Kerry Godliman,2018-10-31,2018-07-25,73,6,0,53
54,7,Series 7,10,I can hear it gooping.,38,James Acaster,2018-11-07,2018-07-25,72,6,1,54
55,8,Series 8,1,Hello.,43,Iain Stirling,2019-05-08,2019-03-21,78,5,0,55
56,8,Series 8,2,A novel about Russian Gulags.,45,Lou Sanders,2019-05-15,2019-03-21,89,6,0,56
57,8,Series 8,3,Stuck in a mammal groove.,45,Lou Sanders,2019-05-22,2019-03-22,73,5,0,57
58,8,Series 8,4,The barrel dad.,47,Sian Gibson,2019-05-29,2019-03-22,66,5,0,58
59,8,Series 8,5,Stay humble.,43,Iain Stirling,2019-06-05,2019-03-25,92,6,0,59
60,8,Series 8,6,Rock 'n' roll umlaut.,47,Sian Gibson,2019-06-12,2019-03-25,60,6,0,60
61,8,Series 8,7,This is Trevor.,44,Joe Thomas,2019-06-19,2019-03-26,71,5,0,61
62,8,Series 8,8,Aquatic sewing machine.,46,Paul Sinha,2019-06-26,2019-03-26,66,5,0,62
