id,task,task_label,contestant,contestant_label,measurement,objective,objective_label
1,2,Eat as much watermelon as possible,3,Frank Skinner,179.0,1,grams ▲
2,2,Eat as much watermelon as possible,4,Josh Widdicombe,218.0,1,grams ▲
3,2,Eat as much watermelon as possible,5,Roisin Conaty,9.0,1,grams ▲
4,2,Eat as much watermelon as possible,6,Romesh Ranganathan,301.0,1,grams ▲
5,2,Eat as much watermelon as possible,7,Tim Key,293.0,1,grams ▲
6,4,Empty the bathtub,3,Frank Skinner,462.0,2,time ▼
7,4,Empty the bathtub,4,Josh Widdicombe,532.0,2,time ▼
8,4,Empty the bathtub,5,Roisin Conaty,570.0,2,time ▼
9,4,Empty the bathtub,6,Romesh Ranganathan,170.0,2,time ▼
10,4,Empty the bathtub,7,Tim Key,140.0,2,time ▼
11,6,Find Alex,3,Frank Skinner,110.0,2,time ▼
12,6,Find Alex,6,Romesh Ranganathan,147.0,2,time ▼
13,8,High-five a 55-year-old,3,Frank Skinner,764.0,2,time ▼
14,8,High-five a 55-year-old,4,Josh Widdicombe,198.0,2,time ▼
15,8,High-five a 55-year-old,5,Roisin Conaty,372.0,2,time ▼
16,8,High-five a 55-year-old,6,Romesh Ranganathan,3600.0,2,time ▼
17,8,High-five a 55-year-old,7,Tim Key,269.0,2,time ▼
18,9,Identify the contents of the pies,3,Frank Skinner,1.0,3,pies ▲
19,9,Identify the contents of the pies,4,Josh Widdicombe,3.0,3,pies ▲
20,9,Identify the contents of the pies,5,Roisin Conaty,1.0,3,pies ▲
21,9,Identify the contents of the pies,6,Romesh Ranganathan,3.0,3,pies ▲
22,9,Identify the contents of the pies,7,Tim Key,4.0,3,pies ▲
23,13,Throw a teabag into a mug,3,Frank Skinner,10.04,4,meters ▲
24,13,Throw a teabag into a mug,4,Josh Widdicombe,15.1,4,meters ▲
25,13,Throw a teabag into a mug,5,Roisin Conaty,2.4,4,meters ▲
26,13,Throw a teabag into a mug,6,Romesh Ranganathan,8.5,4,meters ▲
27,13,Throw a teabag into a mug,7,Tim Key,23.87,4,meters ▲
28,16,Get an egg as high as possible,3,Frank Skinner,,4,meters ▲
29,16,Get an egg as high as possible,4,Josh Widdicombe,6.8,4,meters ▲
30,16,Get an egg as high as possible,5,Roisin Conaty,,4,meters ▲
31,16,Get an egg as high as possible,6,Romesh Ranganathan,1.11,4,meters ▲
32,16,Get an egg as high as possible,7,Tim Key,,4,meters ▲
33,17,Stand up after 100 seconds,3,Frank Skinner,?,5,difference in seconds ▼
34,17,Stand up after 100 seconds,4,Josh Widdicombe,5.0,5,difference in seconds ▼
35,17,Stand up after 100 seconds,5,Roisin Conaty,?,5,difference in seconds ▼
36,17,Stand up after 100 seconds,6,Romesh Ranganathan,12.0,5,difference in seconds ▼
37,17,Stand up after 100 seconds,7,Tim Key,12.0,5,difference in seconds ▼
38,18,Guess Frank’s age in minutes,4,Josh Widdicombe,30305028.0,6,difference in minutes ▼
39,18,Guess Frank’s age in minutes,6,Romesh Ranganathan,30355028.0,6,difference in minutes ▼
40,20,Make a block of ice disappear,3,Frank Skinner,1648.0,2,time ▼
41,20,Make a block of ice disappear,4,Josh Widdicombe,1024.0,2,time ▼
42,20,Make a block of ice disappear,5,Roisin Conaty,1820.0,2,time ▼
43,20,Make a block of ice disappear,6,Romesh Ranganathan,2850.0,2,time ▼
44,20,Make a block of ice disappear,7,Tim Key,820.0,2,time ▼
45,23,Score 11 points,3,Frank Skinner,1081.0,2,time ▼
46,23,Score 11 points,4,Josh Widdicombe,672.0,2,time ▼
47,23,Score 11 points,5,Roisin Conaty,672.0,2,time ▼
48,23,Score 11 points,6,Romesh Ranganathan,672.0,2,time ▼
49,23,Score 11 points,7,Tim Key,1081.0,2,time ▼
50,24,Fill an eggcup with tears,3,Frank Skinner,12.0,7,tears ▲
51,24,Fill an eggcup with tears,4,Josh Widdicombe,7.0,7,tears ▲
52,24,Fill an eggcup with tears,5,Roisin Conaty,0.0,7,tears ▲
53,24,Fill an eggcup with tears,6,Romesh Ranganathan,10.0,7,tears ▲
54,24,Fill an eggcup with tears,7,Tim Key,0.0,7,tears ▲
55,26,Memorise an Australian Rules Football team,3,Frank Skinner,1.0,8,names ▲
56,26,Memorise an Australian Rules Football team,4,Josh Widdicombe,1.0,8,names ▲
57,26,Memorise an Australian Rules Football team,5,Roisin Conaty,1.0,8,names ▲
58,26,Memorise an Australian Rules Football team,6,Romesh Ranganathan,1.0,8,names ▲
59,26,Memorise an Australian Rules Football team,7,Tim Key,1.0,8,names ▲
60,28,Move the boulder as far as possible,3,Frank Skinner,6.5,9,miles ▲
61,28,Move the boulder as far as possible,4,Josh Widdicombe,14.7,9,miles ▲
62,28,Move the boulder as far as possible,5,Roisin Conaty,0.17,9,miles ▲
63,28,Move the boulder as far as possible,6,Romesh Ranganathan,1.75,9,miles ▲
64,28,Move the boulder as far as possible,7,Tim Key,2.3,9,miles ▲
65,29,Grow the longest nail,3,Frank Skinner,2.1,10,centimeters ▲
66,29,Grow the longest nail,4,Josh Widdicombe,2.8,10,centimeters ▲
67,29,Grow the longest nail,5,Roisin Conaty,1.8,10,centimeters ▲
68,29,Grow the longest nail,6,Romesh Ranganathan,2.2,10,centimeters ▲
69,29,Grow the longest nail,7,Tim Key,0.0,10,centimeters ▲
70,30,Make a bed while holding hands,3,Frank Skinner,657.0,2,time ▼
71,30,Make a bed while holding hands,4,Josh Widdicombe,963.0,2,time ▼
72,30,Make a bed while holding hands,5,Roisin Conaty,963.0,2,time ▼
73,30,Make a bed while holding hands,6,Romesh Ranganathan,963.0,2,time ▼
74,30,Make a bed while holding hands,7,Tim Key,657.0,2,time ▼
75,31,Make a Swedish person blush,3,Frank Skinner,26.0,11,blush depth in ticks ▲
76,31,Make a Swedish person blush,4,Josh Widdicombe,10.0,11,blush depth in ticks ▲
77,31,Make a Swedish person blush,5,Roisin Conaty,46.0,11,blush depth in ticks ▲
78,31,Make a Swedish person blush,6,Romesh Ranganathan,33.0,11,blush depth in ticks ▲
79,31,Make a Swedish person blush,7,Tim Key,19.0,11,blush depth in ticks ▲
80,34,Play mini golf with eggs,3,Frank Skinner,32.0,12,shots ▼
81,34,Play mini golf with eggs,3,Frank Skinner,5.0,13,eggs ▼
82,34,Play mini golf with eggs,3,Frank Skinner,6.85,14,minutes ▼
83,34,Play mini golf with eggs,3,Frank Skinner,1096.0,15,points ▼
84,34,Play mini golf with eggs,4,Josh Widdicombe,42.0,12,shots ▼
85,34,Play mini golf with eggs,4,Josh Widdicombe,7.0,13,eggs ▼
86,34,Play mini golf with eggs,4,Josh Widdicombe,21.0,14,minutes ▼
87,34,Play mini golf with eggs,4,Josh Widdicombe,6174.0,15,points ▼
88,34,Play mini golf with eggs,5,Roisin Conaty,40.0,12,shots ▼
89,34,Play mini golf with eggs,5,Roisin Conaty,6.0,13,eggs ▼
90,34,Play mini golf with eggs,5,Roisin Conaty,4.167,14,minutes ▼
91,34,Play mini golf with eggs,5,Roisin Conaty,1000.0,15,points ▼
92,34,Play mini golf with eggs,6,Romesh Ranganathan,68.0,12,shots ▼
93,34,Play mini golf with eggs,6,Romesh Ranganathan,36.0,13,eggs ▼
94,34,Play mini golf with eggs,6,Romesh Ranganathan,14.333,14,minutes ▼
95,34,Play mini golf with eggs,6,Romesh Ranganathan,35088.0,15,points ▼
96,34,Play mini golf with eggs,7,Tim Key,39.0,12,shots ▼
97,34,Play mini golf with eggs,7,Tim Key,3.0,13,eggs ▼
98,34,Play mini golf with eggs,7,Tim Key,10.0,14,minutes ▼
99,34,Play mini golf with eggs,7,Tim Key,1170.0,15,points ▼
100,37,Separate the blue sweets,3,Frank Skinner,11.0,16,blue sweets ▲
101,37,Separate the blue sweets,4,Josh Widdicombe,10.0,16,blue sweets ▲
102,37,Separate the blue sweets,5,Roisin Conaty,-2143.0,16,blue sweets ▲
