id,task,task_label,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½
1,1,The most unusual item,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
2,1,The most unusual item,4,Josh Widdicombe,1,,1,5,1.0,1.0,1.0,,,
3,1,The most unusual item,5,Roisin Conaty,2,,2,4,2.0,2.0,2.0,,,
4,1,The most unusual item,6,Romesh Ranganathan,3,,3,3,3.0,3.0,3.0,,,
5,1,The most unusual item,7,Tim Key,5,,5,1,5.0,5.0,5.0,,,
6,2,Eat as much watermelon as possible,3,Frank Skinner,2,,2,4,2.0,2.0,2.0,,,
7,2,Eat as much watermelon as possible,4,Josh Widdicombe,3,,3,3,3.0,3.0,3.0,,,
8,2,Eat as much watermelon as possible,5,Roisin Conaty,1,,1,5,1.0,1.0,1.0,,,
9,2,Eat as much watermelon as possible,6,Romesh Ranganathan,5,,5,1,5.0,5.0,5.0,,,
10,2,Eat as much watermelon as possible,7,Tim Key,4,,4,2,4.0,4.0,4.0,,,
11,3,Paint a horse while riding a horse,3,Frank Skinner,5,,5,1,5.0,5.0,5.0,,,
12,3,Paint a horse while riding a horse,4,Josh Widdicombe,3,,3,3,3.0,3.0,3.0,,,
13,3,Paint a horse while riding a horse,5,Roisin Conaty,1,,1,5,1.0,1.0,1.0,,,
14,3,Paint a horse while riding a horse,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
15,3,Paint a horse while riding a horse,7,Tim Key,2,,2,4,2.0,2.0,2.0,,,
16,4,Empty the bathtub,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
17,4,Empty the bathtub,4,Josh Widdicombe,3,,3,3,3.0,3.0,3.0,,,
18,4,Empty the bathtub,5,Roisin Conaty,2,,2,4,2.0,2.0,2.0,,,
19,4,Empty the bathtub,6,Romesh Ranganathan,5,,5,1,5.0,5.0,5.0,,,
20,4,Empty the bathtub,7,Tim Key,1,,1,5,1.0,1.0,1.0,,,
21,5,Pop up a tent and pop on a onesie,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
