id,unit,target,label
1,grams,most,grams ▲
2,time,least,time ▼
3,pies,most,pies ▲
4,meters,most,meters ▲
5,difference in seconds,least,difference in seconds ▼
6,difference in minutes,least,difference in minutes ▼
7,tears,most,tears ▲
8,names,most,names ▲
9,miles,most,miles ▲
10,centimeters,most,centimeters ▲
11,blush depth in ticks,most,blush depth in ticks ▲
12,shots,least,shots ▼
13,eggs,least,eggs ▼
14,minutes,least,minutes ▼
15,points,least,points ▼
16,blue sweets,most,blue sweets ▲
17,Fred facts,most,Fred facts ▲
18,mistakes,least,mistakes ▼
19,potatoes,most,potatoes ▲
20,mayor's rating,most,mayor's rating ▲
21,behatted rabbits,most,behatted rabbits ▲
22,wrong guesses,most,wrong guesses ▲
23,guessed tasks,most,guessed tasks ▲
24,claps,most,claps ▲
25,steps,least,steps ▼
26,balanced swedes,most,balanced swedes ▲
27,kilograms,most,kilograms ▲
28,sweatdrops,most,sweatdrops ▲
29,anchored balloons,most,anchored balloons ▲
30,square miles,most,square miles ▲
31,sticky notes,most,sticky notes ▲
32,correct answers,most,correct answers ▲
33,doughnuts,least,doughnuts ▼
34,milliliters,most,milliliters ▲
35,time,most,time ▲
36,penalties,least,penalties ▼
37,chained balloons,most,chained balloons ▲
38,tubes,most,tubes ▲
39,peas,most,peas ▲
40,centimeters,least,centimeters ▼
41,kicks,least,kicks ▼
42,identified items,most,identified items ▲
43,£,most,£ ▲
44,inches,median,inches ◀
45,difference in centimeters,least,difference in centimeters ▼
46,spotted differences,most,spotted differences ▲
47,attempts,least,attempts ▼
48,cans,most,cans ▲
49,identified Finns minus non-Finns,most,identified Finns minus non-Finns ▲
50,bull's-eyed yoghurt,most,bull's-eyed yoghurt ▲
51,meters off target,least,meters off target ▼
52,team members,most,team members ▲
53,votes,most,votes ▲
54,zip-lined items,most,zip-lined items ▲
55,fish puns,most,fish puns ▲
56,caught makes,most,caught makes ▲
57,descended steps,most,descended steps ▲
58,steps,most,steps ▲
59,inches,most,inches ▲
60,sorted objects,most,sorted objects ▲
61,spins,most,spins ▲
62,darts score,most,darts score ▲
