id,series,series_label,seat,name,dob,gender,hand,team,team_label,champion,TMI
1,,,,Alex Horne,1978-09-10,M,R,,,0,32
2,,,,Greg Davies,1968-05-14,M,R,,,0,19
3,1,Series 1,1,Frank Skinner,1957-01-28,M,R,1,Frank and Tim,0,56
4,1,Series 1,2,Josh Widdicombe,1983-04-08,M,R,2,"Josh, Roisin and Romesh",1,69
5,1,Series 1,3,Roisin Conaty,1979-03-26,F,R,2,"Josh, Roisin and Romesh",0,15
6,1,Series 1,4,Romesh Ranganathan,1978-03-27,M,R,2,"Josh, Roisin and Romesh",0,48
7,1,Series 1,5,Tim Key,1976-09-02,M,R,1,Frank and Tim,0,34
8,2,Series 2,1,Doc Brown,1977-09-21,M,R,4,"Doc, Joe and Katherine",0,11
9,2,Series 2,2,Joe Wilkinson,1975-05-02,M,R,4,"Doc, Joe and Katherine",0,70
10,2,Series 2,3,Jon Richardson,1982-09-26,M,R,3,Jon and Richard,0,49
11,2,Series 2,4,Katherine Ryan,1983-06-30,F,R,4,"Doc, Joe and Katherine",1,52
12,2,Series 2,5,Richard Osman,1970-11-28,M,R,3,Jon and Richard,0,44
13,3,Series 3,1,Al Murray,1968-05-10,M,R,6,"Al, Dave and Paul",0,43
14,3,Series 3,2,Dave Gorman,1971-03-02,M,R,6,"Al, Dave and Paul",0,27
15,3,Series 3,3,Paul Chowdhry,1974-08-21,M,R,6,"Al, Dave and Paul",0,13
16,3,Series 3,4,Rob Beckett,1986-01-02,M,R,5,Rob and Sara,1,8
17,3,Series 3,5,Sara Pascoe,1981-05-22,F,R,5,Rob and Sara,0,46
18,4,Series 4,1,Hugh Dennis,1962-02-13,M,R,7,Hugh and Mel,0,20
19,4,Series 4,2,Joe Lycett,1988-07-05,M,L,8,"Joe, Lolly and Noel",0,40
20,4,Series 4,3,Lolly Adefope,1990-09-14,F,L,8,"Joe, Lolly and Noel",0,2
21,4,Series 4,4,Mel Giedroyc,1968-06-05,F,R,7,Hugh and Mel,0,24
22,4,Series 4,5,Noel Fielding,1973-05-21,M,R,8,"Joe, Lolly and Noel",1,21
23,5,Series 5,1,Aisling Bea,1984-03-16,F,R,10,"Aisling, Bob and Sally",0,7
24,5,Series 5,2,Bob Mortimer,1959-05-23,M,R,10,"Aisling, Bob and Sally",1,42
25,5,Series 5,3,Mark Watson,1980-02-13,M,L,9,Mark and Nish,0,65
26,5,Series 5,4,Nish Kumar,1985-08-26,M,R,9,Mark and Nish,0,36
27,5,Series 5,5,Sally Phillips,1970-05-10,F,R,10,"Aisling, Bob and Sally",0,47
28,-1,CoC,1,Bob Mortimer,1959-05-23,M,R,,,0,42
29,-1,CoC,2,Josh Widdicombe,1983-04-08,M,R,,,0,69
30,-1,CoC,3,Katherine Ryan,1983-06-30,F,R,,,0,52
31,-1,CoC,4,Noel Fielding,1973-05-21,M,R,,,0,21
32,-1,CoC,5,Rob Beckett,1986-01-02,M,R,,,0,8
