id,episode,guest,guest_label,topic,topic_label,rating
1,1,1,Alex Horne,75,God's haemorrhoid.,5.0
2,2,26,Nish Kumar,76,A documentary about a despot.,5.0
3,3,50,Jo Brand,77,Point of swivel.,5.0
4,4,15,Paul Chowdhry,78,Toshwash.,1.0
5,5,38,James Acaster,79,I hate your trainers.,5.0
6,6,39,Jessica Knappett,80,Hippopotamus.,5.0
7,7,52,Rose Matafeo,81,Legit glass.,4.0
8,8,12,Richard Osman,82,Moments of silence.,50.0
9,9,51,Katy Wix,83,Air Horn Andy.,5.0
10,10,57,Richard Herring,84,Dog meat trifle.,5.0
