id,series,series_label,episode,episode_label,task,task_label,speaker,speaker_label,roots,quote,studio
1,1,Series 1,1,Melon buffet.,1,The most unusual item,6,Romesh Ranganathan,"[""shit""]",I think we can all agree it's the shittest present in the history of humanity.,1
2,1,Series 1,1,Melon buffet.,1,The most unusual item,6,Romesh Ranganathan,"[""piss""]",You know the granules? The snow density is piss-poor.,1
3,1,Series 1,1,Melon buffet.,1,The most unusual item,2,Greg Davies,"[""shit""]",And the winner of this competition will have to take all of that shit home.,1
4,1,Series 1,1,Melon buffet.,2,Eat as much watermelon as possible,6,Romesh Ranganathan,"[""shit""]","And then when I threw it I was like, ""Holy shit, that has...""",1
5,1,Series 1,1,Melon buffet.,2,Eat as much watermelon as possible,2,Greg Davies,"[""shit""]",I've got an image of you at an all-you-can-eat buffet just kicking the shit out of everything.,1
6,1,Series 1,1,Melon buffet.,2,Eat as much watermelon as possible,6,Romesh Ranganathan,"[""bitch""]",Son of a bitch!,1
7,1,Series 1,1,Melon buffet.,3,Paint a horse while riding a horse,7,Tim Key,"[""shit""]",Horseshit.,0
8,1,Series 1,1,Melon buffet.,3,Paint a horse while riding a horse,6,Romesh Ranganathan,"[""shit""]",What a pile of horse shit.,0
9,1,Series 1,1,Melon buffet.,3,Paint a horse while riding a horse,7,Tim Key,"[""shit""]",And I am absolutely dogshit at painting.,0
10,1,Series 1,1,Melon buffet.,3,Paint a horse while riding a horse,2,Greg Davies,"[""shit""]",The top three are absolutely shit.,1
11,1,Series 1,1,Melon buffet.,3,Paint a horse while riding a horse,7,Tim Key,"[""Christ""]","Ow, Jesus Christ!",0
12,1,Series 1,1,Melon buffet.,3,Paint a horse while riding a horse,4,Josh Widdicombe,"[""wank""]",Stop being such a wanker.,1
13,1,Series 1,1,Melon buffet.,4,Empty the bathtub,4,Josh Widdicombe,"[""shit""]",That's absolute bullshit.,0
14,1,Series 1,1,Melon buffet.,6,Find Alex,2,Greg Davies,"[""hell""]","Alex, what the hell are we gonna do about this?",1
15,1,Series 1,1,Melon buffet.,6,Find Alex,6,Romesh Ranganathan,"[""shit""]","On the plus side, I don't have that dogshit snow globe any more.",1
16,1,Series 1,2,The pie whisperer.,7,The most impressive item,6,Romesh Ranganathan,"[""shit""]","The category is not ""shit that would be great at a party"".",1
17,1,Series 1,2,The pie whisperer.,7,The most impressive item,6,Romesh Ranganathan,"[""piss""]",Old pisshead here's just got a massive bottle of champagne.,1
18,1,Series 1,2,The pie whisperer.,7,The most impressive item,5,Roisin Conaty,"[""piss""]",I'm not a pisshead!,1
19,1,Series 1,2,The pie whisperer.,7,The most impressive item,6,Romesh Ranganathan,"[""shit""]","This is bullshit, man.",1
20,1,Series 1,2,The pie whisperer.,8,High-five a 55-year-old,5,Roisin Conaty,"[""shit""]","Feels like being Bond, but sort of shittier.",0
21,1,Series 1,2,The pie whisperer.,8,High-five a 55-year-old,2,Greg Davies,"[""Christ"",""shit""]","I mean, Jesus Christ, I thought you'd only stood catatonic with a shit sign for ten minutes.",1
22,1,Series 1,2,The pie whisperer.,8,High-five a 55-year-old,2,Greg Davies,"[""Christ""]",Jesus Christ!,1
23,1,Series 1,2,The pie whisperer.,9,Identify the contents of the pies,2,Greg Davies,"[""Christ""]","Oh, Jesus Christ.",1
24,1,Series 1,2,The pie whisperer.,9,Identify the contents of the pies,2,Greg Davies,"[""fuck""]",It's not the fucking X-Files.,1
25,1,Series 1,2,The pie whisperer.,9,Identify the contents of the pies,6,Romesh Ranganathan,"[""hell""]",I still can't‒what the hell is that?,0
26,1,Series 1,2,The pie whisperer.,9,Identify the contents of the pies,2,Greg Davies,"[""fuck""]",We've just seen a film of you breaching the fucking pie!,1
27,1,Series 1,2,The pie whisperer.,9,Identify the contents of the pies,6,Romesh Ranganathan,"[""shit""]",'Cause it ended up being dogshit!,1
28,1,Series 1,2,The pie whisperer.,9,Identify the contents of the pies,6,Romesh Ranganathan,"[""shit""]","But you would've thought that dog shit was steak, to be fair.",1
29,1,Series 1,2,The pie whisperer.,9,Identify the contents of the pies,6,Romesh Ranganathan,"[""shit"",""shit"",""shit""]","This is bullshit, man. Utter bullshit. Utter bullshit.",1
30,1,Series 1,2,The pie whisperer.,10,Do something that will look impressive in reverse,3,Frank Skinner,"[""shit""]",It was shit.,1
31,1,Series 1,2,The pie whisperer.,10,Do something that will look impressive in reverse,6,Romesh Ranganathan,"[""shit""]","♪ Tree Wizard, magical hands and‒holy shit, it's another balloon ♪",0
32,1,Series 1,2,The pie whisperer.,11,Unshackle yourself and sprint one metre,4,Josh Widdicombe,"[""fuck""]","Oh, fuck this. I'm just gambling.",1
33,1,Series 1,2,The pie whisperer.,11,Unshackle yourself and sprint one metre,4,Josh Widdicombe,"[""Christ""]","Oh, for Christ's sake.",1
34,1,Series 1,3,The poet and the egg.,12,The most meaningful item,2,Greg Davies,"[""shit""]","I like to give people a chance to justify their decisions, but I will say this: it's shit, go on.",1
35,1,Series 1,3,The poet and the egg.,12,The most meaningful item,2,Greg Davies,"[""shit""]",Now I feel like a total shit.,1
36,1,Series 1,3,The poet and the egg.,12,The most meaningful item,2,Greg Davies,"[""fuck""]","I went, ""Good luck, everyone. Boop!"" to Romesh and he went, ""What the fuck was that?""",1
37,1,Series 1,3,The poet and the egg.,12,The most meaningful item,6,Romesh Ranganathan,"[""fuck""]","But what the fuck was that, man?",1
38,1,Series 1,3,The poet and the egg.,12,The most meaningful item,2,Greg Davies,"[""fuck""]",He won't speak to you 'cause you didn't read his fucking book.,1
