id,task,task_label,brief
1,1,The most unusual item,Bring in the most unusual item.
2,2,Eat as much watermelon as possible,"In the lab there is a watermelon.
Eat as much watermelon as possible.
You have one minute.
Your time starts when you open the door to the lab."
3,3,Paint a horse while riding a horse,"Paint the best picture of a horse, whilst riding a horse."
4,4,Empty the bathtub,"Completely empty this bathtub.
Fastest wins.
You must not remove the plug, tip or damage the bath.
Your time starts now."
5,5,Pop up a tent and pop on a onesie,"Pop up a tent.
Get in the tent.
Zip up the tent.
Pop on a onesie in the tent, and emerge from the tent wearing the onesie.
Fastest wins."
6,6,Find Alex,"Find Alex.
Fastest wins.
Your time starts now."
7,7,The most impressive item,Bring in your most impressive item.
8,8,High-five a 55-year-old,"High-five a 55-year-old.
Fastest wins.
Your time starts now."
9,9,Identify the contents of the pies,"Identify the contents of these pies.
You may touch the pies but you may not breach their pastry."
10,10,Do something that will look impressive in reverse,"Do something that will look impressive in reverse.
The Taskmaster will see whatever act you perform played backwards.
You must therefore do something backwards that will look impressive when the footage is played in reverse."
11,11,Unshackle yourself and sprint one metre,"Crack the code, unshackle yourself, and sprint one metre.
Fastest wins."
12,12,The most meaningful item,Bring in your most meaningful item.
13,13,Throw a teabag into a mug,"Throw a teabag into a mug from the furthest distance.
You have exactly one hour.
Your time starts now."
14,14,Draw an image using a GPS device,"Using this device to track your route, create the best image for Taskmaster.
You have one hour.
Your time starts when you take your first step.
Pop a balloon to signal that you have finished your image."
15,15,Buy a gift for the Taskmaster,"Buy the best present for the Taskmaster.
Here’s £20.
You have 10 weeks.
Your time starts now."
16,16,Get an egg as high as possible,"Using only the items currently on this table, get this egg as high as possible.
Highest wins.
The egg must not break.
You have 20 minutes.
Your time starts now."
17,17,Stand up after 100 seconds,Stand up after 100 seconds.
18,18,Guess Frank’s age in minutes,"Please give me Frank Skinner’s age, in minutes."
19,19,The most beautiful item,Bring in your most beautiful item.
20,20,Make a block of ice disappear,"Make this ice block disappear as fast as possible.
You have one hour.
Your time starts now."
21,21,Count the baked beans,"Count the beans in the baked bean tin.
Your time starts now."
22,22,Count the spaghetti hoops,Count the hoops in this tin of spaghetti hoops
23,23,Score 11 points,"Get to 11 points as fast as possible.
Your time starts now."
24,24,Fill an eggcup with tears,"Fill an egg cup with as many tears as possible.
You have 20 minutes.
Your time starts now."
25,25,Count the grains of rice,Count the grains of rice in this bag of rice.
26,26,Memorise an Australian Rules Football team,"Memorise the names of an Australian Rules Football team.
Most accurate wins."
27,27,The most valuable item,Bring in your most valuable item.
28,28,Move the boulder as far as possible,"Get this boulder as far from this place as possible.
You have one hour.
Your time starts now."
29,29,Grow the longest nail,"Grow the longest nail.
You have 10 weeks.
Your time starts now."
30,30,Make a bed while holding hands,"Make this bed to a hotel standard while holding hands.
Your time ends when you get into the bed.
Fastest wins.
Hold hands now.
Your time starts now."
31,31,Make a Swedish person blush,"Make this Swedish person blush as deeply as possible.
You have 10 minutes.
Your time starts now."
32,32,Inflate the largest balloon while blindfolded,"Blow up the biggest balloon whilst blindfolded.
You have 100 seconds and one balloon."
33,33,The most satisfying item,Bring in the most satisfying item.
34,34,Play mini golf with eggs,"Get the lowest golf score using eggs.
You must complete the five holes using chickens eggs.
Your score will be calculated as follows: shots times eggs times minutes.
Your time starts now."
35,35,Stage a realistic home movie blooper,"Stage a realistic blooper from a home movie.
The Taskmaster will give points to the best filmmakers.
You have one hour.
Your time starts now."
36,36,Make an alphabet meal,"Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.
You have a total of two hours.
Your time starts now."
37,37,Separate the blue sweets,"Wearing boxing gloves, put the blue sweets in the empty bowl.
Most blue sweets wins.
Non-blue sweets will be subtracted from your total.
You have 100 seconds."
38,38,The most important document,Bring in the most important document.
39,39,Place the exercise balls on the yoga mat,"Place these three exercise balls on the yoga mat on top of that hill.
The task is complete when all three balls sit fully inflated and stationary on the mat.
Fastest wins.
Your time starts now."
40,40,Get the potato into the hole,"Get this potato into the golf hole.
You may not touch the red green.
Fastest wins.
Your time starts now."
41,41,Find out about the Swedish person,"Find out the following information from this Swedish person.
The Swedish person may not speak or write in English.
Fastest and most accurate wins.
Your time starts now."
42,42,Pack a suitcase,"Pack for your holiday.
All items must be packed in your hand luggage or worn on your body.
Fastest wins."
43,43,The trendiest item of clothing,Bring in the trendiest item of clothing.
44,44,Quickly eat an egg,"Eat me.
Fastest wins.
Your time starts now."
45,45,Create a nursery rhyme video,"Make the best music video for a nursery rhyme.
You have one hour.
Your time starts now."
