id,task,task_label,reader,reader_label,team,live
1,5,Pop up a tent and pop on a onesie,7,Tim Key,0,1
2,11,Unshackle yourself and sprint one metre,3,Frank Skinner,0,1
3,17,Stand up after 100 seconds,4,Josh Widdicombe,0,1
4,23,Score 11 points,4,Josh Widdicombe,1,0
5,23,Score 11 points,7,Tim Key,1,0
6,26,Memorise an Australian Rules Football team,6,Romesh Ranganathan,0,1
7,30,Make a bed while holding hands,3,Frank Skinner,1,0
8,30,Make a bed while holding hands,4,Josh Widdicombe,1,0
9,32,Inflate the largest balloon while blindfolded,5,Roisin Conaty,0,1
10,35,Stage a realistic home movie blooper,5,Roisin Conaty,1,0
11,35,Stage a realistic home movie blooper,7,Tim Key,1,0
12,37,Separate the blue sweets,1,Alex Horne,0,1
13,42,Pack a suitcase,8,Doc Brown,0,1
14,48,Put potatoes in a basket,9,Joe Wilkinson,0,1
15,54,Throw rabbits into a hat,10,Jon Richardson,0,1
16,59,Construct something for the Taskmaster,10,Jon Richardson,1,0
17,59,Construct something for the Taskmaster,11,Katherine Ryan,1,0
18,60,Build the tallest tower using potato products,11,Katherine Ryan,0,1
19,63,Create a stop-motion film starring a potato,8,Doc Brown,1,0
20,63,Create a stop-motion film starring a potato,12,Richard Osman,1,0
21,65,"Put on gloves, eat a banana, put on a tie, and clap",12,Richard Osman,0,1
22,70,Balance swedes on a Swede,16,Rob Beckett,0,1
23,73,Release Alex,15,Paul Chowdhry,1,0
24,73,Release Alex,17,Sara Pascoe,1,0
25,76,Unravel the tape,15,Paul Chowdhry,0,1
26,82,Anchor balloons using bread,14,Dave Gorman,0,1
27,86,Create an impressive special effect,15,Paul Chowdhry,1,0
28,86,Create an impressive special effect,16,Rob Beckett,1,0
29,87,Cover yourself in sticky notes,17,Sara Pascoe,0,1
30,91,Play charades across a river,14,Dave Gorman,1,0
31,91,Play charades across a river,16,Rob Beckett,1,0
32,93,The lowest unique number of doughnuts,13,Al Murray,0,1
33,98,Make the most fruit juice,21,Mel Giedroyc,0,1
34,102,Get the flour onto the target,18,Hugh Dennis,1,0
35,102,Get the flour onto the target,20,Lolly Adefope,1,0
36,102,Get the flour onto the target,21,Mel Giedroyc,1,0
37,104,Make the longest balloon chain,19,Joe Lycett,0,1
38,110,Musical words,20,Lolly Adefope,0,1
39,117,Make the tallest tube tower,22,Noel Fielding,0,1
40,123,Make the longest continuous noise,18,Hugh Dennis,0,1
41,132,Prepare the items / Lift all the items in one hand,19,Joe Lycett,0,1
42,136,Wheelie bin obstacle course,18,Hugh Dennis,1,0
43,136,Wheelie bin obstacle course,20,Lolly Adefope,1,0
44,138,Make the biggest and best banana,21,Mel Giedroyc,0,1
45,145,Draw the median duck,20,Lolly Adefope,0,1
46,150,Get some fruit into the bowl,27,Sally Phillips,0,1
47,155,Create the greatest splat,26,Nish Kumar,1,0
48,155,Create the greatest splat,27,Sally Phillips,1,0
49,156,Paint your own canvas,24,Bob Mortimer,0,1
50,161,Word table tennis,25,Mark Watson,0,1
51,164,Do something remarkable synchronised,24,Bob Mortimer,1,0
52,164,Do something remarkable synchronised,26,Nish Kumar,1,0
53,168,Greg says...,23,Aisling Bea,0,1
54,175,Identify the Finns,26,Nish Kumar,0,1
55,181,Make yourself monotone,24,Bob Mortimer,0,1
56,188,Zipwire items to the Taskmaster,23,Aisling Bea,0,1
57,193,Write and perform a song about a stranger,25,Mark Watson,1,0
58,193,Write and perform a song about a stranger,27,Sally Phillips,1,0
59,194,Throw an egg through a basketball hoop,27,Sally Phillips,0,1
60,199,The second longest T-word,28,Bob Mortimer,0,1
61,205,Record the most steps on your pedometers,30,Katherine Ryan,0,1
62,210,Sort the objects by size using your feet,37,Tim Vine,0,1
63,214,Keep Alex dry,33,Alice Levine,1,0
64,214,Keep Alex dry,34,Asim Chaudhry,1,0
65,217,Conceal grapes in your mouth or hand,34,Asim Chaudhry,0,1
66,222,Catch the most socks,35,Liza Tarbuck,0,1
67,225,Have the most fun in 3 minutes,35,Liza Tarbuck,1,0
68,225,Have the most fun in 3 minutes,36,Russell Howard,1,0
69,226,Exactly recreate your 3 minutes of fun,36,Russell Howard,1,0
70,226,Exactly recreate your 3 minutes of fun,37,Tim Vine,1,0
71,229,Shake hands with the Taskmaster without revealing your identity,36,Russell Howard,0,1
72,233,Identify the link and do it 100 times,33,Alice Levine,1,0
73,233,Identify the link and do it 100 times,35,Liza Tarbuck,1,0
74,235,Throw eggs onto a shelf,33,Alice Levine,0,1
75,238,Knock over the ducks without leaving the carpet,36,Russell Howard,1,0
76,238,Knock over the ducks without leaving the carpet,37,Tim Vine,1,0
77,241,Predict how many words you can list for a category,37,Tim Vine,0,1
78,247,Roll eggs to the centre of the target,34,Asim Chaudhry,0,1
79,252,Stick plasters to the correct body parts,33,Alice Levine,0,1
80,256,Perform a number from the Taskmaster musical,36,Russell Howard,1,0
81,256,Perform a number from the Taskmaster musical,37,Tim Vine,1,0
82,259,Hold the most points above the ground,35,Liza Tarbuck,0,1
83,264,Pick numbers higher and lower than the people next to you,36,Russell Howard,0,1
84,269,Make the most exotic fruit hat,40,Kerry Godliman,0,1
85,272,Paint a blindfolded still life,40,Kerry Godliman,1,0
86,272,Paint a blindfolded still life,41,Phil Wang,1,0
87,275,Build a tower of cans within a hoop,41,Phil Wang,0,1
88,281,Silently mouth a ten word fact to Greg,1,Alex Horne,0,1
89,281,Silently mouth a ten word fact to Greg,42,Rhod Gilbert,0,1
90,286,Get dressed while wearing handcuffs,38,James Acaster,0,1
91,292,Make yourselves appear as large or small as possible,39,Jessica Knappett,1,0
92,292,Make yourselves appear as large or small as possible,42,Rhod Gilbert,1,0
93,293,Place objects on the hanger without it falling,39,Jessica Knappett,1,1
94,297,Make a soap opera cliffhanger,38,James Acaster,1,0
95,297,Make a soap opera cliffhanger,39,Jessica Knappett,1,0
96,299,Get your inflatable ring as high as possible,41,Phil Wang,0,1
97,303,Build an extension to the Taskmaster house,38,James Acaster,1,0
