id,task,task_label,winner,winner_label,team,live
1,1,The most unusual item,7,Tim Key,0,0
2,2,Eat as much watermelon as possible,6,Romesh Ranganathan,0,0
3,3,Paint a horse while riding a horse,3,Frank Skinner,0,0
4,4,Empty the bathtub,6,Romesh Ranganathan,0,0
5,5,Pop up a tent and pop on a onesie,7,Tim Key,0,1
6,6,Find Alex,3,Frank Skinner,0,0
7,7,The most impressive item,7,Tim Key,0,0
8,8,High-five a 55-year-old,4,Josh Widdicombe,0,0
9,9,Identify the contents of the pies,7,Tim Key,0,0
10,10,Do something that will look impressive in reverse,5,Roisin Conaty,0,0
11,10,Do something that will look impressive in reverse,6,Romesh Ranganathan,0,0
12,11,Unshackle yourself and sprint one metre,5,Roisin Conaty,0,1
13,12,The most meaningful item,6,Romesh Ranganathan,0,0
14,13,Throw a teabag into a mug,7,Tim Key,0,0
15,14,Draw an image using a GPS device,4,Josh Widdicombe,0,0
16,15,Buy a gift for the Taskmaster,4,Josh Widdicombe,0,0
17,16,Get an egg as high as possible,4,Josh Widdicombe,0,0
18,17,Stand up after 100 seconds,4,Josh Widdicombe,0,1
19,18,Guess Frank’s age in minutes,4,Josh Widdicombe,0,1
20,19,The most beautiful item,7,Tim Key,0,0
21,20,Make a block of ice disappear,4,Josh Widdicombe,0,0
22,23,Score 11 points,4,Josh Widdicombe,1,0
23,23,Score 11 points,5,Roisin Conaty,1,0
24,23,Score 11 points,6,Romesh Ranganathan,1,0
25,24,Fill an eggcup with tears,3,Frank Skinner,0,0
26,26,Memorise an Australian Rules Football team,3,Frank Skinner,0,1
27,26,Memorise an Australian Rules Football team,4,Josh Widdicombe,0,1
28,26,Memorise an Australian Rules Football team,5,Roisin Conaty,0,1
29,26,Memorise an Australian Rules Football team,6,Romesh Ranganathan,0,1
30,26,Memorise an Australian Rules Football team,7,Tim Key,0,1
31,27,The most valuable item,4,Josh Widdicombe,0,0
32,28,Move the boulder as far as possible,4,Josh Widdicombe,0,0
33,29,Grow the longest nail,4,Josh Widdicombe,0,0
34,30,Make a bed while holding hands,3,Frank Skinner,1,0
35,30,Make a bed while holding hands,7,Tim Key,1,0
36,31,Make a Swedish person blush,5,Roisin Conaty,0,0
37,32,Inflate the largest balloon while blindfolded,5,Roisin Conaty,0,1
38,33,The most satisfying item,7,Tim Key,0,0
39,34,Play mini golf with eggs,5,Roisin Conaty,0,0
40,35,Stage a realistic home movie blooper,3,Frank Skinner,1,0
41,35,Stage a realistic home movie blooper,7,Tim Key,1,0
42,36,Make an alphabet meal,3,Frank Skinner,0,0
43,37,Separate the blue sweets,7,Tim Key,0,1
44,38,The most important document,9,Joe Wilkinson,0,0
45,39,Place the exercise balls on the yoga mat,12,Richard Osman,0,0
46,40,Get the potato into the hole,10,Jon Richardson,0,0
47,41,Find out about the Swedish person,11,Katherine Ryan,0,0
48,42,Pack a suitcase,12,Richard Osman,0,1
49,43,The trendiest item of clothing,8,Doc Brown,0,0
50,44,Quickly eat an egg,12,Richard Osman,0,0
51,45,Create a nursery rhyme video,8,Doc Brown,0,0
52,45,Create a nursery rhyme video,10,Jon Richardson,0,0
53,46,A photo of an object that looks like you,12,Richard Osman,0,0
54,47,Order a pizza without using certain words,10,Jon Richardson,0,0
55,48,Put potatoes in a basket,10,Jon Richardson,0,1
56,49,The best dinner party guest,9,Joe Wilkinson,0,0
57,50,Impress the Mayor,11,Katherine Ryan,0,0
58,51,Make an unexpected silhouette,10,Jon Richardson,0,0
59,52,Buy a gift for the Taskmaster,12,Richard Osman,0,0
60,53,"See no potato, hear no potato, speak no potato",10,Jon Richardson,1,0
61,53,"See no potato, hear no potato, speak no potato",12,Richard Osman,1,0
