id,task,task_label,team,team_label,win
1,23,Score 11 points,1,Frank and Tim,0
2,23,Score 11 points,2,"Josh, Roisin and Romesh",1
3,30,Make a bed while holding hands,1,Frank and Tim,1
4,30,Make a bed while holding hands,2,"Josh, Roisin and Romesh",0
5,35,Stage a realistic home movie blooper,1,Frank and Tim,1
6,35,Stage a realistic home movie blooper,2,"Josh, Roisin and Romesh",0
7,53,"See no potato, hear no potato, speak no potato",3,Jon and Richard,1
8,53,"See no potato, hear no potato, speak no potato",4,"Doc, Joe and Katherine",0
9,59,Construct something for the Taskmaster,3,Jon and Richard,0
10,59,Construct something for the Taskmaster,4,"Doc, Joe and Katherine",1
11,63,Create a stop-motion film starring a potato,3,Jon and Richard,1
12,63,Create a stop-motion film starring a potato,4,"Doc, Joe and Katherine",0
13,73,Release Alex,5,Rob and Sara,1
14,73,Release Alex,6,"Al, Dave and Paul",0
15,86,Create an impressive special effect,5,Rob and Sara,0
16,86,Create an impressive special effect,6,"Al, Dave and Paul",1
17,91,Play charades across a river,5,Rob and Sara,0
18,91,Play charades across a river,6,"Al, Dave and Paul",1
19,102,Get the flour onto the target,7,Hugh and Mel,1
20,102,Get the flour onto the target,8,"Joe, Lolly and Noel",0
21,107,Make a Taskmaster movie trailer,7,Hugh and Mel,1
22,107,Make a Taskmaster movie trailer,8,"Joe, Lolly and Noel",0
23,121,Do incompatible things with the bathtub,7,Hugh and Mel,1
24,121,Do incompatible things with the bathtub,8,"Joe, Lolly and Noel",0
25,136,Wheelie bin obstacle course,7,Hugh and Mel,0
26,136,Wheelie bin obstacle course,8,"Joe, Lolly and Noel",1
27,155,Create the greatest splat,9,Mark and Nish,1
28,155,Create the greatest splat,10,"Aisling, Bob and Sally",0
29,164,Do something remarkable synchronised,9,Mark and Nish,0
30,164,Do something remarkable synchronised,10,"Aisling, Bob and Sally",1
31,193,Write and perform a song about a stranger,9,Mark and Nish,1
32,193,Write and perform a song about a stranger,10,"Aisling, Bob and Sally",0
33,214,Keep Alex dry,11,Alice and Russell,1
34,214,Keep Alex dry,12,"Asim, Liza and Tim",0
35,225,Have the most fun in 3 minutes,11,Alice and Russell,0
36,225,Have the most fun in 3 minutes,12,"Asim, Liza and Tim",1
37,226,Exactly recreate your 3 minutes of fun,11,Alice and Russell,1
38,226,Exactly recreate your 3 minutes of fun,12,"Asim, Liza and Tim",1
39,233,Identify the link and do it 100 times,11,Alice and Russell,0
40,233,Identify the link and do it 100 times,12,"Asim, Liza and Tim",1
41,238,Knock over the ducks without leaving the carpet,11,Alice and Russell,0
42,238,Knock over the ducks without leaving the carpet,12,"Asim, Liza and Tim",1
43,245,List and then mime obscure animals,11,Alice and Russell,1
44,245,List and then mime obscure animals,12,"Asim, Liza and Tim",0
45,256,Perform a number from the Taskmaster musical,11,Alice and Russell,1
46,256,Perform a number from the Taskmaster musical,12,"Asim, Liza and Tim",0
47,272,Paint a blindfolded still life,13,Jessica and Kerry,0
48,272,Paint a blindfolded still life,14,"James, Phil and Rhod",1
49,292,Make yourselves appear as large or small as possible,13,Jessica and Kerry,0
50,292,Make yourselves appear as large or small as possible,14,"James, Phil and Rhod",1
51,293,Place objects on the hanger without it falling,13,Jessica and Kerry,1
52,293,Place objects on the hanger without it falling,14,"James, Phil and Rhod",0
53,297,Make a soap opera cliffhanger,13,Jessica and Kerry,0
54,297,Make a soap opera cliffhanger,14,"James, Phil and Rhod",1
55,303,Build an extension to the Taskmaster house,13,Jessica and Kerry,1
56,303,Build an extension to the Taskmaster house,14,"James, Phil and Rhod",0
57,315,Complete a 24-shot rally,13,Jessica and Kerry,1
58,315,Complete a 24-shot rally,14,"James, Phil and Rhod",0
59,332,"Convey an object using only facial expressions, noises, adjectives & verbs",15,Joe and Sian,1
60,332,"Convey an object using only facial expressions, noises, adjectives & verbs",16,"Iain, Lou and Paul",0
61,343,Get the most weight into a hammock,15,Joe and Sian,1
62,343,Get the most weight into a hammock,16,"Iain, Lou and Paul",0
63,349,Play long-distance catch with a beach ball,15,Joe and Sian,0
64,349,Play long-distance catch with a beach ball,16,"Iain, Lou and Paul",1
65,354,Design an iconic album cover,15,Joe and Sian,1
66,354,Design an iconic album cover,16,"Iain, Lou and Paul",0
67,362,"Answer the questions, pull the strings; do not release the green egg",15,Joe and Sian,1
68,362,"Answer the questions, pull the strings; do not release the green egg",16,"Iain, Lou and Paul",0
69,365,Catch the tennis balls,15,Joe and Sian,0
70,365,Catch the tennis balls,16,"Iain, Lou and Paul",1
71,371,Make yourselves look like one person,15,Joe and Sian,0
72,371,Make yourselves look like one person,16,"Iain, Lou and Paul",1
73,372,Complete some tasks as one person,15,Joe and Sian,1
74,372,Complete some tasks as one person,16,"Iain, Lou and Paul",0
75,387,Say the word ‘demeaning’,17,David and Jo,0
76,387,Say the word ‘demeaning’,18,"Ed, Katy and Rose",1
77,397,Bring a classic board game to life,17,David and Jo,1
78,397,Bring a classic board game to life,18,"Ed, Katy and Rose",1
79,403,"Get to know a person who alternately tells the truth, lies, and brags",17,David and Jo,0
80,403,"Get to know a person who alternately tells the truth, lies, and brags",18,"Ed, Katy and Rose",1
81,418,Supply a soundtrack for a film,17,David and Jo,0
82,418,Supply a soundtrack for a film,18,"Ed, Katy and Rose",1
83,424,Communicate pictures by drawing on your team-mate’s back,19,David and Ed,0
84,424,Communicate pictures by drawing on your team-mate’s back,20,"Jo, Katy and Rose",1
85,427,Make a cup of tea,17,David and Jo,1
86,427,Make a cup of tea,18,"Ed, Katy and Rose",0
87,437,"Find the treasure / Make different, increasingly loud noises",21,Daisy and Richard,0
88,437,"Find the treasure / Make different, increasingly loud noises",22,"Johnny, Katherine and Mawaan",1
89,446,Draw an object on a rotating canvas,21,Daisy and Richard,1
90,446,Draw an object on a rotating canvas,22,"Johnny, Katherine and Mawaan",0
91,449,Persuade the security guard to look in your bag,21,Daisy and Richard,1
92,449,Persuade the security guard to look in your bag,22,"Johnny, Katherine and Mawaan",1
93,456,Feed your team-mate(s) the most watermelon,21,Daisy and Richard,1
94,456,Feed your team-mate(s) the most watermelon,22,"Johnny, Katherine and Mawaan",0
95,462,Draw animals using straight lines,21,Daisy and Richard,0
96,462,Draw animals using straight lines,22,"Johnny, Katherine and Mawaan",1
97,465,Communicate the safe contents via reversed audio,21,Daisy and Richard,0
98,465,Communicate the safe contents via reversed audio,22,"Johnny, Katherine and Mawaan",1
99,473,Do not blink while staring at your opponent with a selected expression,23,Daisy and Katherine,0
100,473,Do not blink while staring at your opponent with a selected expression,24,"Johnny, Mawaan and Richard",1
101,481,Complete the best performance of a specific song,21,Daisy and Richard,1
