id,episode,episode_label,coiner,coiner_label,task,task_label
1,1,Melon buffet.,5,Roisin Conaty,2,Eat as much watermelon as possible
2,2,The pie whisperer.,2,Greg Davies,9,Identify the contents of the pies
3,3,The poet and the egg.,2,Greg Davies,16,Get an egg as high as possible
4,4,Down an octave.,5,Roisin Conaty,20,Make a block of ice disappear
5,5,Little denim shorts.,7,Tim Key,31,Make a Swedish person blush
6,6,The last supper.,,,36,Make an alphabet meal
7,7,Fear of failure.,,,41,Find out about the Swedish person
8,8,Pork is a sausage.,,,47,Order a pizza without using certain words
9,9,A pistachio eclair.,10,Jon Richardson,50,Impress the Mayor
10,10,Welcome to Rico Face.,10,Jon Richardson,58,Set a task / Guess who set the tasks
11,11,There's strength in arches.,9,Joe Wilkinson,64,Build a bridge for the potato
12,12,A pea in a haystack.,15,Paul Chowdhry,68,Propel a pea along a red carpet
13,13,The dong and the gong.,1,Alex Horne,72,Surprise Alex
14,14,Little polythene grief cave.,2,Greg Davies,78,Fill an eggcup with sweat
15,15,A very nuanced character.,2,Greg Davies,86,Create an impressive special effect
16,16,The F.I.P.,1,Alex Horne,90,Move water from one bucket to another
17,17,A fat bald white man.,2,Greg Davies,96,Draw a blind portrait
18,18,Look at me.,2,Greg Davies,104,Make the longest balloon chain
19,19,Hollowing out a baguette.,18,Hugh Dennis,109,Transfer water from one fishbowl to another
20,20,Friendship is truth.,20,Lolly Adefope,114,Ringtone choreography
21,21,Meat.,2,Greg Davies,122,Throw something into something
22,22,Spatchcock it.,2,Greg Davies,126,Pass a camel through a small gap
23,23,No stars for naughty boys.,2,Greg Davies,136,Wheelie bin obstacle course
24,24,Tony Three Pies.,2,Greg Davies,143,Strike an item the farthest
25,25,Dignity intact.,23,Aisling Bea,148,Get Alex to dry land
26,26,The leprechaun or the lesbian.,1,Alex Horne,153,Paint a rainbow in the dark
27,27,Phoenix.,1,Alex Horne,161,Word table tennis
28,28,Residue around the hoof.,24,Bob Mortimer,163,Make marmite
29,29,A wind-dried puffin.,24,Bob Mortimer,175,Identify the Finns
30,30,Spoony Neeson.,23,Aisling Bea,178,Record the most incredible PoV footage
31,31,Boing boing.,27,Sally Phillips,187,Make a funny flick book
32,32,Their water's so delicious.,24,Bob Mortimer,191,Create the best graph
33,33,Wiley giraffe blower.,2,Greg Davies,197,Blow something substantial off a table
34,34,I've sinned again.,28,Bob Mortimer,203,Make a delicious mask
35,35,The old soft curved padlock.,2,Greg Davies,210,Sort the objects by size using your feet
36,36,Tarpeters.,35,Liza Tarbuck,214,Keep Alex dry
37,37,One warm prawn.,34,Asim Chaudhry,221,Identify the baby food flavours
38,38,BMXing!,35,Liza Tarbuck,225,Have the most fun in 3 minutes
39,39,H.,34,Asim Chaudhry,233,Identify the link and do it 100 times
40,40,We met at mealtimes.,37,Tim Vine,240,Make a parachute for a wooden spoon
41,41,Roadkill doused in syrup.,33,Alice Levine,244,Draw the contents of the box
42,42,What kind of pictures?,35,Liza Tarbuck,250,Find out what you have in common with a stranger
43,43,The Bubble Brothers.,1,Alex Horne,255,Make the biggest bubble and burst it with your nose
44,44,He was a different man.,35,Liza Tarbuck,263,Declare your love for the Taskmaster
45,45,The mean bean.,2,Greg Davies,268,Work out the perimeter of the caravan in beans
46,46,My eyes are circles.,38,James Acaster,274,Draw the biggest and best circle
47,47,Twelve blush majesty two.,2,Greg Davies,281,Silently mouth a ten word fact to Greg
48,48,OLLIE.,,,285,Make the scales read exactly 31.770kg
49,49,Lotta soup.,41,Phil Wang,291,Cheer up the traffic warden
50,50,A coquettish fascinator.,2,Greg Davies,296,Make a portrait of the Taskmaster using your 50 items
51,51,The perfect stuff.,38,James Acaster,303,Build an extension to the Taskmaster house
52,52,Mother honks her horn.,2,Greg Davies,309,Compose a 30 second piece of music
53,53,The pendulum draws the eye.,2,Greg Davies,313,Take a photo of yourself in a fez / Improve your hula-hooping
54,54,I can hear it gooping.,38,James Acaster,319,Find the hard-boiled egg
55,55,Hello.,46,Paul Sinha,324,Find the baby monitor receiver
56,56,A novel about Russian Gulags.,2,Greg Davies,333,Travel the furthest while making a continuous noise
57,57,Stuck in a mammal groove.,2,Greg Davies,337,Work out what Alex is wearing
58,58,The barrel dad.,2,Greg Davies,343,Get the most weight into a hammock
59,59,Stay humble.,44,Joe Thomas,348,Make a realistic injury using food
60,60,Rock 'n' roll umlaut.,44,Joe Thomas,354,Design an iconic album cover
61,61,This is Trevor.,47,Sian Gibson,361,Do something powerful with your little finger
62,62,Aquatic sewing machine.,2,Greg Davies,363,The nicest thing to hold
63,63,I've been a bit ill.,44,Joe Thomas,371,Make yourselves look like one person
64,64,Clumpy swayey clumsy man.,2,Greg Davies,376,Make the most tremendous legs
65,65,Join our cult.,51,Katy Wix,382,Make the most dramatic entrance
66,66,Butter in the microwave.,48,David Baddiel,387,Say the word ‘demeaning’
67,67,Five miles per day.,1,Alex Horne,392,Score a goal with a steamroller
68,68,Quisps.,49,Ed Gamble,398,Fill a tray with things beginning with a letter you chose
69,69,Another spoon.,2,Greg Davies,401,Lasso Alex
70,70,Bready bready bready.,50,Jo Brand,407,Push a watermelon up a slide using breadsticks
71,71,A cuddle.,1,Alex Horne,413,Find and put the gold rings on the stick
72,72,Shaqinahat.,1,Alex Horne,416,Throw something into a pedal bin
73,73,Don't like them go bang.,2,Greg Davies,422,"Inflate, tie, and pop the most balloons"
74,74,Think about the spirit.,2,Greg Davies,428,Complete the seven tasks in any order
75,75,God's haemorrhoid.,54,Johnny Vegas,434,Get the most eggs in the pan
76,76,A documentary about a despot.,2,Greg Davies,439,Get all the exercise balls in the hoops while in a boat
77,77,Point of swivel.,54,Johnny Vegas,445,Catapult a shoe into a bathtub
78,78,Toshwash.,,,449,Persuade the security guard to look in your bag
